layer,tokens,time_us
act_fn,2,2.544999999999527
act_fn,4,3.347399999999925
act_fn,8,5.397200000000202
act_fn,16,9.56359999999977
act_fn,32,17.954400000000398
act_fn,64,34.77340000000004
act_fn,128,68.39920000000006
act_fn,256,105.42080000000001
act_fn,512,184.30480000000034
act_fn,1024,368.9747999999996
act_fn,2048,739.0951999999987
down_proj,1,507.4427999999983
down_proj,2,510.2506000000027
down_proj,4,509.1201999999979
down_proj,8,508.99919999999895
down_proj,16,607.1495999999963
down_proj,32,617.1806000000113
down_proj,64,639.3308000000018
down_proj,128,663.9590000000005
down_proj,256,1250.186199999993
down_proj,512,2133.3725999999997
down_proj,1024,4389.095199999997
down_proj,2048,8512.879800000032
embedding,1,2.816599999999653
embedding,2,3.155599999999322
embedding,4,4.395600000000059
embedding,8,7.156399999999849
embedding,16,12.453999999999587
embedding,32,23.237600000000022
embedding,64,8.340800000000218
embedding,128,12.73279999999968
embedding,256,23.055799999999817
embedding,512,42.07300000000028
embedding,1024,82.52620000000088
embedding,2048,158.38620000000128
final_layernorm,1,3.484999999999309
final_layernorm,2,2.894999999999709
final_layernorm,4,2.567399999999725
final_layernorm,8,2.7552000000000136
final_layernorm,16,3.5850000000002185
final_layernorm,32,5.66840000000102
final_layernorm,64,8.920799999999053
final_layernorm,128,16.15040000000031
final_layernorm,256,33.36380000000035
final_layernorm,512,63.78119999999958
final_layernorm,1024,86.21300000000024
final_layernorm,2048,172.69759999999968
gate_up_proj,1,1197.7203999999995
gate_up_proj,2,1197.8093999999996
gate_up_proj,4,1198.4569999999997
gate_up_proj,8,1212.4937999999952
gate_up_proj,16,1210.4630000000002
gate_up_proj,32,1225.0346000000004
gate_up_proj,64,1230.9097999999997
gate_up_proj,128,1217.1139999999957
gate_up_proj,256,2906.5662000000034
gate_up_proj,512,4959.392599999989
gate_up_proj,1024,8095.317000000027
gate_up_proj,2048,17275.94740000003
layernorm,1,3.4266000000012355
layernorm,2,2.8132000000001427
layernorm,4,2.4930000000001202
layernorm,8,2.6322000000006485
layernorm,16,3.677999999999611
layernorm,32,5.753600000000551
layernorm,64,8.983599999999479
layernorm,128,16.184400000000096
layernorm,256,33.39559999999983
layernorm,512,63.736599999999726
layernorm,1024,86.10100000000038
layernorm,2048,172.81480000000047
o_proj,1,174.31500000000088
o_proj,2,174.52960000000112
o_proj,4,174.8112000000005
o_proj,8,179.43200000000007
o_proj,16,176.1373999999997
o_proj,32,180.36359999999954
o_proj,64,188.94459999999975
o_proj,128,209.6384000000036
o_proj,256,335.66079999999886
o_proj,512,636.496800000001
o_proj,1024,1528.0339999999992
o_proj,2048,2287.863400000004
qkv_proj,1,259.8482000000025
qkv_proj,2,260.0782000000014
qkv_proj,4,260.195
qkv_proj,8,266.6237999999998
qkv_proj,16,262.60019999999986
qkv_proj,32,268.7285999999989
qkv_proj,64,255.6036000000002
qkv_proj,128,297.95539999999994
qkv_proj,256,536.5722000000005
qkv_proj,512,905.4721999999995
qkv_proj,1024,1856.7286000000008
qkv_proj,2048,3793.2070000000035
rotary_emb,1,8.693800000000191
rotary_emb,2,8.744399999999406
rotary_emb,4,9.131799999999021
rotary_emb,8,9.326000000001022
rotary_emb,16,9.81300000000183
rotary_emb,32,11.249799999999937
rotary_emb,64,13.943600000001334
rotary_emb,128,24.036799999999992
rotary_emb,256,42.99119999999925
rotary_emb,512,80.22220000000038
rotary_emb,1024,154.37479999999928
