layer,sequences,time_us
lm_head,1,5357.993999999939
lm_head,2,5996.313400000098
lm_head,4,5371.401600000065
lm_head,8,5389.8910000000205
lm_head,16,5422.454200000048
lm_head,32,5432.494400000176
lm_head,64,5548.686400000015
lm_head,128,5651.828600000005
lm_head,256,9659.293400000124
sampler,1,18.49079999999949
sampler,2,25.10699999999997
sampler,4,34.162000000000376
sampler,8,59.04980000000005
sampler,16,114.0638000000005
sampler,32,208.73800000000037
sampler,64,392.0822000000004
sampler,128,756.9441999999947
sampler,256,1488.0604000000092
