layer,sequences,time_us
lm_head,1,1476.26
lm_head,2,1487.8
lm_head,3,1489.12
lm_head,4,1492.89
lm_head,5,1493.33
lm_head,6,1494.63
lm_head,7,1496.11
lm_head,8,1496.83
lm_head,9,1498.38
lm_head,10,1500.77
lm_head,11,1502.67
lm_head,12,1504.16
lm_head,13,1504.29
lm_head,14,1505.85
lm_head,15,1506.58
lm_head,16,1508.62
lm_head,20,1531.1
lm_head,24,1537.75
lm_head,28,1538.47
lm_head,32,1542.06
lm_head,36,1546.6
lm_head,40,1552.08
lm_head,44,1554.17
lm_head,48,1559.77
lm_head,52,1560.12
lm_head,56,1566.61
lm_head,60,1565.65
lm_head,64,1571.17
lm_head,80,1582.09
lm_head,96,1585.84
lm_head,112,1593.67
lm_head,128,1606.64
lm_head,144,2359.88
lm_head,160,2406.37
lm_head,176,2534.36
lm_head,192,2595.59
lm_head,208,2598.3
lm_head,224,2599.76
lm_head,240,2601.98
lm_head,256,2603.49
sampler,1,38.0903
sampler,2,39.754
sampler,3,39.8817
sampler,4,42.1327
sampler,5,42.2713
sampler,6,42.7413
sampler,7,44.5543
sampler,8,45.248
sampler,9,47.8823
sampler,10,54.1007
sampler,11,56.3507
sampler,12,57.024
sampler,13,59.4987
sampler,14,60.736
sampler,15,61.002
sampler,16,63.893
sampler,20,68.735
sampler,24,73.9293
sampler,28,80.2017
sampler,32,85.172
sampler,36,90.41
sampler,40,96.8843
sampler,44,103.103
sampler,48,108.81
sampler,52,115.018
sampler,56,122.826
sampler,60,129.642
sampler,64,136.287
sampler,80,169.961
sampler,96,199.998
sampler,112,230.322
sampler,128,260.947
sampler,144,292.723
sampler,160,324.466
sampler,176,359.101
sampler,192,386.609
sampler,208,455.303
sampler,224,483.046
sampler,240,509.073
sampler,256,527.815
