pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
0,n<=64,sr>70%,kvB<=16k,kp=0,0.0235,4
0,n<=64,sr>70%,kvB<=1k,kp=0,0.0941,4
0,n<=64,sr>70%,kvB<=4k,kp=0,0.0096,4
0,n<=8,sr<=15%,kvB<=16k,kp=0,0.0933,2
0,n<=8,sr<=15%,kvB<=1k,kp=0,0.0664,2
0,n<=8,sr<=15%,kvB<=4k,kp=0,0.0658,2
0,n<=8,sr<=40%,kvB<=16k,kp=0,0.0494,4
0,n<=8,sr<=40%,kvB<=1k,kp=0,0.0691,4
0,n<=8,sr<=40%,kvB<=4k,kp=0,0.0142,4
0,n<=8,sr<=70%,kvB<=16k,kp=0,0.0027,2
0,n<=8,sr<=70%,kvB<=1k,kp=0,0.08,2
0,n<=8,sr<=70%,kvB<=4k,kp=0,0.0043,2
0,n<=8,sr>70%,kvB<=16k,kp=0,0.2248,4
0,n<=8,sr>70%,kvB<=1k,kp=0,0.162,4
0,n<=8,sr>70%,kvB<=4k,kp=0,0.1942,4
16,n<=128,sr<=15%,kvB<=16k,kp<=1k,0.0007,4
16,n<=128,sr<=15%,kvB<=16k,kp<=2k,0.0008,4
16,n<=128,sr<=15%,kvB<=16k,kp<=4k,0.0009,4
16,n<=128,sr<=15%,kvB<=16k,kp<=512,0.0004,4
16,n<=128,sr<=15%,kvB<=16k,kp<=8k,0.0007,4
16,n<=128,sr<=15%,kvB<=16k,kp=0,0.0006,4
16,n<=128,sr<=15%,kvB<=1k,kp<=1k,0.0326,4
16,n<=128,sr<=15%,kvB<=1k,kp<=2k,0.0254,4
16,n<=128,sr<=15%,kvB<=1k,kp<=4k,0.0273,4
16,n<=128,sr<=15%,kvB<=1k,kp<=512,0.0327,4
16,n<=128,sr<=15%,kvB<=1k,kp<=8k,0.0295,4
16,n<=128,sr<=15%,kvB<=1k,kp=0,0.0334,4
16,n<=128,sr<=15%,kvB<=4k,kp<=1k,0.0017,4
16,n<=128,sr<=15%,kvB<=4k,kp<=2k,0.0014,4
16,n<=128,sr<=15%,kvB<=4k,kp<=4k,0.0007,4
16,n<=128,sr<=15%,kvB<=4k,kp<=512,0.0017,4
16,n<=128,sr<=15%,kvB<=4k,kp<=8k,0.0009,4
16,n<=128,sr<=15%,kvB<=4k,kp=0,0.0016,4
16,n<=128,sr<=40%,kvB<=16k,kp<=1k,-0.0015,2
16,n<=128,sr<=40%,kvB<=16k,kp<=2k,-0.0012,2
16,n<=128,sr<=40%,kvB<=16k,kp<=4k,-0.0011,2
16,n<=128,sr<=40%,kvB<=16k,kp<=512,-0.0016,2
16,n<=128,sr<=40%,kvB<=16k,kp<=8k,-0.0014,2
16,n<=128,sr<=40%,kvB<=16k,kp=0,-0.0008,2
16,n<=128,sr<=40%,kvB<=1k,kp<=1k,0.0625,2
16,n<=128,sr<=40%,kvB<=1k,kp<=2k,0.0618,2
16,n<=128,sr<=40%,kvB<=1k,kp<=4k,0.0607,2
16,n<=128,sr<=40%,kvB<=1k,kp<=512,0.0633,2
16,n<=128,sr<=40%,kvB<=1k,kp<=8k,0.0555,2
16,n<=128,sr<=40%,kvB<=1k,kp=0,0.0654,2
16,n<=128,sr<=40%,kvB<=4k,kp<=1k,-0.0013,2
16,n<=128,sr<=40%,kvB<=4k,kp<=2k,-0.0015,2
16,n<=128,sr<=40%,kvB<=4k,kp<=4k,-0.0014,2
16,n<=128,sr<=40%,kvB<=4k,kp<=512,-0.001,2
16,n<=128,sr<=40%,kvB<=4k,kp<=8k,0.0007,2
16,n<=128,sr<=40%,kvB<=4k,kp=0,-0.0008,2
16,n<=128,sr<=5%,kvB<=16k,kp<=1k,0.0022,8
16,n<=128,sr<=5%,kvB<=16k,kp<=2k,0.0024,8
16,n<=128,sr<=5%,kvB<=16k,kp<=4k,0.0024,8
16,n<=128,sr<=5%,kvB<=16k,kp<=512,0.0022,8
16,n<=128,sr<=5%,kvB<=16k,kp<=8k,0.0021,8
16,n<=128,sr<=5%,kvB<=16k,kp=0,0.0024,8
16,n<=128,sr<=5%,kvB<=1k,kp<=1k,0.0053,8
16,n<=128,sr<=5%,kvB<=1k,kp<=2k,0.0032,8
16,n<=128,sr<=5%,kvB<=1k,kp<=4k,0.0021,8
16,n<=128,sr<=5%,kvB<=1k,kp<=512,0.0068,8
16,n<=128,sr<=5%,kvB<=1k,kp<=8k,0.0015,8
16,n<=128,sr<=5%,kvB<=1k,kp=0,0.0101,8
16,n<=128,sr<=5%,kvB<=4k,kp<=1k,0.0028,8
16,n<=128,sr<=5%,kvB<=4k,kp<=2k,0.0024,8
16,n<=128,sr<=5%,kvB<=4k,kp<=4k,0.0023,8
16,n<=128,sr<=5%,kvB<=4k,kp<=512,0.003,8
16,n<=128,sr<=5%,kvB<=4k,kp<=8k,0.0012,8
16,n<=128,sr<=5%,kvB<=4k,kp=0,0.0031,8
16,n<=128,sr<=70%,kvB<=16k,kp<=1k,-0.0041,2
16,n<=128,sr<=70%,kvB<=16k,kp<=2k,-0.0033,2
16,n<=128,sr<=70%,kvB<=16k,kp<=4k,-0.0029,2
16,n<=128,sr<=70%,kvB<=16k,kp<=512,-0.0041,2
16,n<=128,sr<=70%,kvB<=16k,kp<=8k,-0.0002,2
16,n<=128,sr<=70%,kvB<=16k,kp=0,-0.0044,2
16,n<=128,sr<=70%,kvB<=1k,kp<=1k,0.0831,2
16,n<=128,sr<=70%,kvB<=1k,kp<=2k,0.0724,2
16,n<=128,sr<=70%,kvB<=1k,kp<=4k,0.0739,2
16,n<=128,sr<=70%,kvB<=1k,kp<=512,0.0842,2
16,n<=128,sr<=70%,kvB<=1k,kp<=8k,0.0574,2
16,n<=128,sr<=70%,kvB<=1k,kp=0,0.0929,2
16,n<=128,sr<=70%,kvB<=4k,kp<=1k,-0.0033,2
16,n<=128,sr<=70%,kvB<=4k,kp<=2k,-0.0015,2
16,n<=128,sr<=70%,kvB<=4k,kp<=4k,0.0045,2
16,n<=128,sr<=70%,kvB<=4k,kp<=512,-0.0031,2
16,n<=128,sr<=70%,kvB<=4k,kp<=8k,0.0041,2
16,n<=128,sr<=70%,kvB<=4k,kp=0,-0.0041,2
16,n<=128,sr>70%,kvB<=16k,kp<=1k,-0.0037,4
16,n<=128,sr>70%,kvB<=16k,kp<=2k,-0.0042,4
16,n<=128,sr>70%,kvB<=16k,kp<=4k,-0.0001,4
16,n<=128,sr>70%,kvB<=16k,kp<=512,-0.0034,4
16,n<=128,sr>70%,kvB<=16k,kp<=8k,0.0022,4
16,n<=128,sr>70%,kvB<=16k,kp=0,-0.0022,4
16,n<=128,sr>70%,kvB<=1k,kp<=1k,0.0605,4
16,n<=128,sr>70%,kvB<=1k,kp<=2k,0.0637,4
16,n<=128,sr>70%,kvB<=1k,kp<=4k,0.0987,4
16,n<=128,sr>70%,kvB<=1k,kp<=512,0.0703,4
16,n<=128,sr>70%,kvB<=1k,kp<=8k,0.1085,4
16,n<=128,sr>70%,kvB<=1k,kp=0,0.0556,4
16,n<=128,sr>70%,kvB<=4k,kp<=1k,-0.0021,4
16,n<=128,sr>70%,kvB<=4k,kp<=2k,-0.0033,4
16,n<=128,sr>70%,kvB<=4k,kp<=4k,-0.0056,4
16,n<=128,sr>70%,kvB<=4k,kp<=512,-0.0037,4
16,n<=128,sr>70%,kvB<=4k,kp<=8k,-0.0007,4
16,n<=128,sr>70%,kvB<=4k,kp=0,-0.0035,4
16,n<=16,sr<=15%,kvB<=16k,kp<=1k,0.1165,4
16,n<=16,sr<=15%,kvB<=16k,kp<=2k,0.0955,4
16,n<=16,sr<=15%,kvB<=16k,kp<=4k,0.0484,4
16,n<=16,sr<=15%,kvB<=16k,kp<=512,0.1342,4
16,n<=16,sr<=15%,kvB<=16k,kp<=8k,0.0129,4
16,n<=16,sr<=15%,kvB<=16k,kp=0,0.1099,4
16,n<=16,sr<=15%,kvB<=1k,kp<=1k,0.0463,4
