prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
16,16,4,128,33.6427
16,16,4,256,45.013
16,16,4,512,65.8987
16,16,4,1024,95.8077
16,16,4,2048,151.307
16,16,4,4096,270.005
16,16,4,8192,503.412
16,16,4,16384,978.143
16,16,8,16,36.0107
16,16,8,32,36.661
16,16,8,64,37.344
16,16,8,128,52.1707
16,16,8,256,71.285
16,16,8,512,101.631
16,16,8,1024,162.293
16,16,8,2048,280.041
16,16,8,4096,515.166
16,16,8,8192,991.336
16,16,8,16384,1964.14
16,16,16,16,58.7093
16,16,16,32,59.978
16,16,16,64,60.9387
16,16,16,128,88.8423
16,16,16,256,121.887
16,16,16,512,180.607
16,16,16,1024,297.653
16,16,16,2048,532.702
16,16,16,4096,1007.25
16,16,16,8192,2023.6
16,16,16,16384,4425.15
16,16,32,16,102.443
16,16,32,32,105.024
16,16,32,64,107.082
16,16,32,128,161.087
16,16,32,256,221.706
16,16,32,512,340.788
16,16,32,1024,587.199
16,16,32,2048,1105.67
16,16,32,4096,2467.35
16,16,32,8192,5476.4
16,16,32,16384,10957.3
16,16,64,16,188.554
16,16,64,32,193.579
16,16,64,64,196.661
16,16,64,128,307.423
16,16,64,256,461.503
16,16,64,512,811.316
16,16,64,1024,1562.26
16,16,64,2048,3074.31
16,16,64,4096,6090.93
16,16,64,8192,12188.8
16,16,64,16384,24259
16,16,128,16,358.538
16,16,128,32,366.538
16,16,128,64,381.172
16,16,128,128,622.164
16,16,128,256,902.825
16,16,128,512,1593.47
16,16,128,1024,3080.71
16,16,128,2048,6099.15
16,16,128,4096,12127.6
16,16,128,8192,24240.2
16,16,128,16384,48383.1
16,32,0,0,11.936
16,32,1,16,12.0103
16,32,1,32,12.032
16,32,1,64,12.2987
16,32,1,128,14.112
16,32,1,256,17.632
16,32,1,512,27.4773
16,32,1,1024,43.0293
16,32,1,2048,75.0503
16,32,1,4096,136.095
16,32,1,8192,258.976
16,32,1,16384,504.395
16,32,2,16,19.0723
16,32,2,32,19.2853
16,32,2,64,19.488
16,32,2,128,24.416
16,32,2,256,31.8607
16,32,2,512,46.7947
16,32,2,1024,66.1437
16,32,2,2048,95.7543
16,32,2,4096,154.495
16,32,2,8192,270.954
16,32,2,16384,504.063
16,32,4,16,24.832
16,32,4,32,24.9493
16,32,4,64,25.6107
16,32,4,128,33.654
16,32,4,256,45.0133
16,32,4,512,65.9943
16,32,4,1024,95.3177
16,32,4,2048,152.384
16,32,4,4096,270.154
16,32,4,8192,503.413
16,32,4,16384,978.303
16,32,8,16,36.064
16,32,8,32,36.8533
16,32,8,64,37.4613
16,32,8,128,52.405
16,32,8,256,71.4027
16,32,8,512,102.101
16,32,8,1024,160.576
16,32,8,2048,281.226
16,32,8,4096,515.125
16,32,8,8192,990.196
16,32,8,16384,1965.94
16,32,16,16,58.5813
16,32,16,32,59.8933
16,32,16,64,61.2267
16,32,16,128,89.0023
16,32,16,256,122.091
16,32,16,512,180.448
16,32,16,1024,298.379
16,32,16,2048,534.837
16,32,16,4096,1008.37
16,32,16,8192,2012.83
16,32,16,16384,4411.96
16,32,32,16,102.464
16,32,32,32,105.12
16,32,32,64,107.136
16,32,32,128,161.365
16,32,32,256,222.048
16,32,32,512,339.819
16,32,32,1024,585.343
16,32,32,2048,1092.3
16,32,32,4096,2510.34
16,32,32,8192,5386.97
16,32,32,16384,10934.9
16,32,64,16,188.875
16,32,64,32,193.674
16,32,64,64,196.939
16,32,64,128,307.317
16,32,64,256,462.496
16,32,64,512,811.743
16,32,64,1024,1560.04
16,32,64,2048,3076.89
16,32,64,4096,6093.2
16,32,64,8192,12178.2
16,32,64,16384,24255.3
16,32,128,16,334.944
16,32,128,32,343.701
16,32,128,64,381.515
16,32,128,128,622.581
16,32,128,256,900.202
16,32,128,512,1594
16,32,128,1024,3086.51
16,32,128,2048,6097.62
16,32,128,4096,12138.9
16,32,128,8192,24234.6
16,32,128,16384,48368.7
16,64,0,0,12.0533
16,64,1,16,11.9467
16,64,1,32,12.1607
16,64,1,64,12.2887
16,64,1,128,15.7973
16,64,1,256,19.755
16,64,1,512,27.4453
16,64,1,1024,43.083
16,64,1,2048,74.976
16,64,1,4096,136.138
16,64,1,8192,258.912
16,64,1,16384,504.192
16,64,2,16,19.2
16,64,2,32,19.4353
16,64,2,64,19.5943
16,64,2,128,24.352
16,64,2,256,31.8613
16,64,2,512,46.528
16,64,2,1024,66.1653
16,64,2,2048,95.7013
16,64,2,4096,154.592
16,64,2,8192,270.816
16,64,2,16384,502.56
16,64,4,16,24.896
16,64,4,32,25.099
16,64,4,64,25.6537
16,64,4,128,33.6213
16,64,4,256,45.0453
16,64,4,512,66.314
16,64,4,1024,96.0107
16,64,4,2048,153.781
16,64,4,4096,269.163
16,64,4,8192,503.679
16,64,4,16384,978.347
16,64,8,16,36.1713
16,64,8,32,36.832
16,64,8,64,37.5467
16,64,8,128,52.192
16,64,8,256,71.1253
16,64,8,512,102.133
16,64,8,1024,160.789
16,64,8,2048,280.821
16,64,8,4096,514.219
16,64,8,8192,987.809
16,64,8,16384,1965.32
16,64,16,16,58.6347
16,64,16,32,60
16,64,16,64,61.1413
16,64,16,128,88.949
16,64,16,256,121.93
16,64,16,512,181.003
16,64,16,1024,297.632
16,64,16,2048,535.467
16,64,16,4096,1009.3
16,64,16,8192,1957.27
16,64,16,16384,4441.91
16,64,32,16,102.581
16,64,32,32,104.843
16,64,32,64,107.232
16,64,32,128,161.301
16,64,32,256,222.101
16,64,32,512,340.992
16,64,32,1024,585.888
16,64,32,2048,1114.6
16,64,32,4096,2541.67
16,64,32,8192,5446.03
16,64,32,16384,10903.7
16,64,64,16,189.056
16,64,64,32,193.824
16,64,64,64,197.291
