prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
16,16,4,64,30.1663
16,16,4,128,41.0363
16,16,4,256,55.0743
16,16,4,512,83.0007
16,16,4,1024,138.437
16,16,4,2048,254.41
16,16,4,4096,481.192
16,16,4,8192,929.348
16,16,4,16384,1851.12
16,16,8,16,44.8447
16,16,8,32,45.6557
16,16,8,64,46.7643
16,16,8,128,67.3413
16,16,8,256,92.1423
16,16,8,512,141.413
16,16,8,1024,240.873
16,16,8,2048,442.63
16,16,8,4096,840.522
16,16,8,8192,1652.88
16,16,8,16384,3825.31
16,16,16,16,76.3337
16,16,16,32,77.976
16,16,16,64,79.95
16,16,16,128,121.05
16,16,16,256,167.195
16,16,16,512,259.115
16,16,16,1024,454.748
16,16,16,2048,842.944
16,16,16,4096,1908.25
16,16,16,8192,5070.09
16,16,16,16384,11007.5
16,16,32,16,142.886
16,16,32,32,146.363
16,16,32,64,149.275
16,16,32,128,230.6
16,16,32,256,324.247
16,16,32,512,563.456
16,16,32,1024,1112.64
16,16,32,2048,2837
16,16,32,4096,6329.41
16,16,32,8192,13072.6
16,16,32,16384,26350.5
16,16,64,16,269.205
16,16,64,32,276.97
16,16,64,64,283.573
16,16,64,128,457.735
16,16,64,256,849.151
16,16,64,512,1837.13
16,16,64,1024,3606.68
16,16,64,2048,7269.75
16,16,64,4096,14493.6
16,16,64,8192,28994.8
16,16,64,16384,58096.3
16,16,128,16,530.888
16,16,128,32,543.732
16,16,128,64,559.477
16,16,128,128,1022.85
16,16,128,256,1896.55
16,16,128,512,3750.93
16,16,128,1024,7400.8
16,16,128,2048,14726.1
16,16,128,4096,29346.1
16,16,128,8192,58653.1
16,16,128,16384,117179
16,32,0,0,12.939
16,32,1,16,18.5077
16,32,1,32,18.6887
16,32,1,64,18.71
16,32,1,128,23.574
16,32,1,256,30.7423
16,32,1,512,37.761
16,32,1,1024,51.617
16,32,1,2048,79.6293
16,32,1,4096,134.65
16,32,1,8192,246.889
16,32,1,16384,480.657
16,32,2,16,23.8513
16,32,2,32,23.926
16,32,2,64,24.1503
16,32,2,128,29.7397
16,32,2,256,36.7907
16,32,2,512,51.661
16,32,2,1024,80.632
16,32,2,2048,136.443
16,32,2,4096,255.113
16,32,2,8192,486.855
16,32,2,16384,956.886
16,32,4,16,29.2063
16,32,4,32,29.633
16,32,4,64,30.241
16,32,4,128,41.0253
16,32,4,256,55.1277
16,32,4,512,82.7553
16,32,4,1024,139.258
16,32,4,2048,253.182
16,32,4,4096,481.927
16,32,4,8192,931.03
16,32,4,16384,1839.23
16,32,8,16,44.951
16,32,8,32,45.6973
16,32,8,64,46.7107
16,32,8,128,67.362
16,32,8,256,92.473
16,32,8,512,141.562
16,32,8,1024,240.776
16,32,8,2048,443.311
16,32,8,4096,838.517
16,32,8,8192,1650.97
16,32,8,16384,3838.01
16,32,16,16,76.376
16,32,16,32,77.9977
16,32,16,64,80.0777
16,32,16,128,121.157
16,32,16,256,166.96
16,32,16,512,258.751
16,32,16,1024,456.112
16,32,16,2048,843.413
16,32,16,4096,1903.29
16,32,16,8192,5242.65
16,32,16,16384,11127.3
16,32,32,16,142.576
16,32,32,32,146.234
16,32,32,64,149.306
16,32,32,128,230.653
16,32,32,256,324.331
16,32,32,512,565.044
16,32,32,1024,1113.07
16,32,32,2048,2727.43
16,32,32,4096,6407.31
16,32,32,8192,13162.3
16,32,32,16384,26064.1
16,32,64,16,269.493
16,32,64,32,276.991
16,32,64,64,283.69
16,32,64,128,458.287
16,32,64,256,858.675
16,32,64,512,1830.41
16,32,64,1024,3622.79
16,32,64,2048,7272.6
16,32,64,4096,14509
16,32,64,8192,29010.4
16,32,64,16384,58129.5
16,32,128,16,530.94
16,32,128,32,543.847
16,32,128,64,559.443
16,32,128,128,1029.81
16,32,128,256,1901.65
16,32,128,512,3751.26
16,32,128,1024,7393.83
16,32,128,2048,14720.7
16,32,128,4096,29344.4
16,32,128,8192,58638.2
16,32,128,16384,117170
16,64,0,0,13.046
16,64,1,16,18.6357
16,64,1,32,18.7737
16,64,1,64,18.9553
16,64,1,128,23.5633
16,64,1,256,30.817
16,64,1,512,37.9857
16,64,1,1024,51.6603
16,64,1,2048,79.245
16,64,1,4096,135.29
16,64,1,8192,247.357
16,64,1,16384,480.4
16,64,2,16,23.9587
16,64,2,32,24.1497
16,64,2,64,24.342
16,64,2,128,29.6113
16,64,2,256,36.8753
16,64,2,512,51.6817
16,64,2,1024,80.5257
16,64,2,2048,136.761
16,64,2,4096,254.536
16,64,2,8192,487.302
16,64,2,16384,958.868
16,64,4,16,29.377
16,64,4,32,29.8463
16,64,4,64,30.39
16,64,4,128,41.1637
16,64,4,256,55.1373
16,64,4,512,82.8403
16,64,4,1024,139.023
16,64,4,2048,254.099
16,64,4,4096,483.62
16,64,4,8192,933.491
16,64,4,16384,1840.15
16,64,8,16,45.0677
16,64,8,32,45.8037
16,64,8,64,46.626
16,64,8,128,67.3513
16,64,8,256,92.4727
16,64,8,512,141.316
16,64,8,1024,240.478
16,64,8,2048,441.241
16,64,8,4096,841.979
16,64,8,8192,1644.25
16,64,8,16384,3780.9
16,64,16,16,76.61
16,64,16,32,78.3597
16,64,16,64,79.96
16,64,16,128,121.092
16,64,16,256,167.493
16,64,16,512,259.048
16,64,16,1024,455.705
16,64,16,2048,842.332
16,64,16,4096,1953.15
16,64,16,8192,5180.72
16,64,16,16384,11125.9
16,64,32,16,142.746
16,64,32,32,146.298
16,64,32,64,149.252
16,64,32,128,230.77
16,64,32,256,324.256
16,64,32,512,569.64
16,64,32,1024,1121.18
16,64,32,2048,2763.95
16,64,32,4096,6364.91
16,64,32,8192,13146.1
16,64,32,16384,26751.8
16,64,64,16,269.384
16,64,64,32,277.236
16,64,64,64,284.009
16,64,64,128,458.169
16,64,64,256,845.879
16,64,64,512,1840.89
16,64,64,1024,3610.13
16,64,64,2048,7272.79
16,64,64,4096,14463
16,64,64,8192,28990.2
16,64,64,16384,58102
16,64,128,16,531.24
16,64,128,32,544.178
16,64,128,64,560.487
16,64,128,128,1027.84
16,64,128,256,1900.02
16,64,128,512,3751.55
16,64,128,1024,7395.11
16,64,128,2048,14735.2
16,64,128,4096,29346.5
16,64,128,8192,58648.5
16,64,128,16384,117176
16,128,0,0,16.49
16,128,1,16,23.7963
16,128,1,32,23.8077
16,128,1,64,23.733
16,128,1,128,25.952
16,128,1,256,30.538
16,128,1,512,44.937
16,128,1,1024,58.6657
16,128,1,2048,86.6863
16,128,1,4096,142.312
16,128,1,8192,253.957
16,128,1,16384,481.364
16,128,2,16,27.3803
16,128,2,32,27.6573
16,128,2,64,27.818
16,128,2,128,34.538
16,128,2,256,40.511
16,128,2,512,55.2837
16,128,2,1024,84.4033
16,128,2,2048,140.871
16,128,2,4096,254.522
16,128,2,8192,488.245
16,128,2,16384,957.599
16,128,4,16,35.8927
16,128,4,32,36.159
16,128,4,64,36.4583
16,128,4,128,43.583
16,128,4,256,55.4333
16,128,4,512,83.476
16,128,4,1024,139.496
16,128,4,2048,254.256
16,128,4,4096,483.318
16,128,4,8192,932.008
16,128,4,16384,1832.84
16,128,8,16,51.4333
16,128,8,32,52.1803
16,128,8,64,52.895
16,128,8,128,70.2387
16,128,8,256,92.67
16,128,8,512,142.056
16,128,8,1024,240.347
16,128,8,2048,443.223
16,128,8,4096,840.589
16,128,8,8192,1674.84
16,128,8,16384,3703.45
16,128,16,16,83.1773
16,128,16,32,84.5417
16,128,16,64,85.982
16,128,16,128,123.89
16,128,16,256,168.668
16,128,16,512,259.621
16,128,16,1024,466.337
16,128,16,2048,874.466
16,128,16,4096,2057.47
16,128,16,8192,5226.62
16,128,16,16384,11040.1
16,128,32,16,145.629
16,128,32,32,149.095
16,128,32,64,152.338
16,128,32,128,235.344
16,128,32,256,329.156
16,128,32,512,582.495
16,128,32,1024,1168.84
16,128,32,2048,2867.33
16,128,32,4096,6417.35
16,128,32,8192,13188.7
16,128,32,16384,26725.4
16,128,64,16,272.101
16,128,64,32,279.557
16,128,64,64,286.416
16,128,64,128,462.325
16,128,64,256,857.198
16,128,64,512,1840.75
16,128,64,1024,3620.61
16,128,64,2048,7258.42
16,128,64,4096,14504
16,128,64,8192,29056.4
16,128,64,16384,58087.6
16,128,128,16,533.567
16,128,128,32,546.57
16,128,128,64,562.752
16,128,128,128,1039.22
16,128,128,256,1906.5
16,128,128,512,3760.25
16,128,128,1024,7406.82
16,128,128,2048,14740.5
16,128,128,4096,29349.5
16,128,128,8192,58641.6
16,128,128,16384,117194
16,256,0,0,19.9887
16,256,1,16,30.6443
16,256,1,32,30.8477
16,256,1,64,30.9217
16,256,1,128,30.8047
16,256,1,256,33.4603
16,256,1,512,44.7883
16,256,1,1024,65.8977
16,256,1,2048,93.599
16,256,1,4096,149.576
16,256,1,8192,261.627
16,256,1,16384,485.324
16,256,2,16,31.2323
16,256,2,32,31.3913
16,256,2,64,31.5087
16,256,2,128,38.1437
16,256,2,256,45.2043
16,256,2,512,59.007
16,256,2,1024,88.0727
16,256,2,2048,144.306
16,256,2,4096,256.934
16,256,2,8192,487.884
16,256,2,16384,958.875
16,256,4,16,41.2367
16,256,4,32,41.781
16,256,4,64,42.133
16,256,4,128,50.047
16,256,4,256,57.8227
16,256,4,512,83.8807
16,256,4,1024,139.688
16,256,4,2048,252.614
16,256,4,4096,486.765
16,256,4,8192,939.748
16,256,4,16384,1835.99
16,256,8,16,56.7773
16,256,8,32,57.8557
16,256,8,64,58.751
16,256,8,128,76.905
16,256,8,256,95.3797
16,256,8,512,142.621
16,256,8,1024,240.743
16,256,8,2048,441.987
16,256,8,4096,845.722
16,256,8,8192,1667.35
16,256,8,16384,3963.5
16,256,16,16,88.5317
16,256,16,32,90.2597
16,256,16,64,91.7957
16,256,16,128,130.419
16,256,16,256,171.485
16,256,16,512,260.326
16,256,16,1024,489.217
16,256,16,2048,946.425
16,256,16,4096,2422.05
16,256,16,8192,5079.35
16,256,16,16384,11030.6
16,256,32,16,151.39
16,256,32,32,154.771
16,256,32,64,158.131
16,256,32,128,237.66
16,256,32,256,335.653
16,256,32,512,573.164
16,256,32,1024,1297.78
16,256,32,2048,2992.61
16,256,32,4096,6413.82
16,256,32,8192,13017.4
16,256,32,16384,26570.6
16,256,64,16,277.712
16,256,64,32,284.539
16,256,64,64,291.078
16,256,64,128,464.6
16,256,64,256,859.57
16,256,64,512,1854.54
16,256,64,1024,3647.35
16,256,64,2048,7275.91
16,256,64,4096,14532.5
16,256,64,8192,29060.4
