pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
0,n<=64,sr<=70%,kvB<=4k,kp=0,-0.0412,2
0,n<=64,sr>70%,kvB<=16k,kp=0,-0.169,4
0,n<=64,sr>70%,kvB<=1k,kp=0,-0.0795,4
0,n<=64,sr>70%,kvB<=4k,kp=0,-0.1104,4
0,n<=8,sr<=15%,kvB<=16k,kp=0,0.0135,2
0,n<=8,sr<=15%,kvB<=1k,kp=0,0.0458,2
0,n<=8,sr<=15%,kvB<=4k,kp=0,-0.0381,2
0,n<=8,sr<=40%,kvB<=16k,kp=0,-0.0008,4
0,n<=8,sr<=40%,kvB<=1k,kp=0,0.0507,4
0,n<=8,sr<=40%,kvB<=4k,kp=0,-0.0125,4
0,n<=8,sr<=70%,kvB<=16k,kp=0,-0.0267,2
0,n<=8,sr<=70%,kvB<=1k,kp=0,0.1142,2
0,n<=8,sr<=70%,kvB<=4k,kp=0,-0.0449,2
0,n<=8,sr>70%,kvB<=16k,kp=0,0.0169,4
0,n<=8,sr>70%,kvB<=1k,kp=0,0.2626,4
0,n<=8,sr>70%,kvB<=4k,kp=0,0.0175,4
16,n<=128,sr<=15%,kvB<=16k,kp<=1k,0.001,4
16,n<=128,sr<=15%,kvB<=16k,kp<=2k,0.001,4
16,n<=128,sr<=15%,kvB<=16k,kp<=4k,0.001,4
16,n<=128,sr<=15%,kvB<=16k,kp<=512,0.001,4
16,n<=128,sr<=15%,kvB<=16k,kp<=8k,0.0008,4
16,n<=128,sr<=15%,kvB<=16k,kp=0,0.0011,4
16,n<=128,sr<=15%,kvB<=1k,kp<=1k,0.0035,4
16,n<=128,sr<=15%,kvB<=1k,kp<=2k,0.0017,4
16,n<=128,sr<=15%,kvB<=1k,kp<=4k,0.0035,4
16,n<=128,sr<=15%,kvB<=1k,kp<=512,0.0037,4
16,n<=128,sr<=15%,kvB<=1k,kp<=8k,0.0003,4
16,n<=128,sr<=15%,kvB<=1k,kp=0,0.0039,4
16,n<=128,sr<=15%,kvB<=4k,kp<=1k,0.0012,4
16,n<=128,sr<=15%,kvB<=4k,kp<=2k,0.0009,4
16,n<=128,sr<=15%,kvB<=4k,kp<=4k,0.0001,4
16,n<=128,sr<=15%,kvB<=4k,kp<=512,0.0012,4
16,n<=128,sr<=15%,kvB<=4k,kp<=8k,-0.0001,4
16,n<=128,sr<=15%,kvB<=4k,kp=0,0.0015,4
16,n<=128,sr<=40%,kvB<=16k,kp<=1k,0.0002,2
16,n<=128,sr<=40%,kvB<=16k,kp<=2k,0.0001,2
16,n<=128,sr<=40%,kvB<=16k,kp<=4k,0.0004,2
16,n<=128,sr<=40%,kvB<=16k,kp<=512,-0.0001,2
16,n<=128,sr<=40%,kvB<=16k,kp<=8k,0.0002,2
16,n<=128,sr<=40%,kvB<=16k,kp=0,0.0,2
16,n<=128,sr<=40%,kvB<=1k,kp<=1k,0.0008,2
16,n<=128,sr<=40%,kvB<=1k,kp<=2k,-0.0016,2
16,n<=128,sr<=40%,kvB<=1k,kp<=4k,0.0027,2
16,n<=128,sr<=40%,kvB<=1k,kp<=512,0.001,2
16,n<=128,sr<=40%,kvB<=1k,kp<=8k,0.0023,2
16,n<=128,sr<=40%,kvB<=1k,kp=0,0.0002,2
16,n<=128,sr<=40%,kvB<=4k,kp<=1k,0.0003,2
16,n<=128,sr<=40%,kvB<=4k,kp<=2k,0.0003,2
16,n<=128,sr<=40%,kvB<=4k,kp<=4k,-0.0003,2
16,n<=128,sr<=40%,kvB<=4k,kp<=512,-0.0001,2
16,n<=128,sr<=40%,kvB<=4k,kp<=8k,-0.0008,2
16,n<=128,sr<=40%,kvB<=4k,kp=0,0.0,2
