truth winner: cuda-a40-node_a40a-tp4-dp1-s128-t8192  V=-73,560.0
degradable pool: 11  penalty: 198,990.0
  k=1 set=0 ['link_bw:fabric-rngd0-a40a'] done
  k=1 set=1 ['link_bw:fabric-rngd0-a40b'] done
  k=1 set=2 ['link_bw:fabric-rngd1-a40a'] done
  k=1 set=3 ['link_bw:fabric-rngd1-a40b'] done
  k=1 set=4 ['link_bw:fabric-rngd0-rngd1'] done
  k=1 set=5 ['link_bw:fabric-a40a-a40b'] done
  k=1 set=6 ['profile:cuda-a40-node_a40a'] done
  k=1 set=7 ['profile:cuda-a40-node_a40b'] done
  k=1 set=8 ['profile:furiosa-rngd-card-node_rngd0'] done
  k=1 set=9 ['profile:furiosa-rngd-card-node_rngd1'] done
  k=1 set=10 ['sim_error:domain'] done
  k=3 set=45 ['link_bw:fabric-rngd0-a40b', 'link_bw:fabric-rngd1-a40a', 'link_bw:fabric-rngd1-a40b'] done
  k=3 set=46 ['link_bw:fabric-rngd0-a40b', 'link_bw:fabric-rngd1-a40a', 'link_bw:fabric-rngd0-rngd1'] done
  k=3 set=47 ['link_bw:fabric-rngd0-a40b', 'link_bw:fabric-rngd1-a40a', 'link_bw:fabric-a40a-a40b'] done
  k=3 set=48 ['link_bw:fabric-rngd0-a40b', 'link_bw:fabric-rngd1-a40a', 'profile:cuda-a40-node_a40a'] done
  k=3 set=49 ['link_bw:fabric-rngd0-a40b', 'link_bw:fabric-rngd1-a40a', 'profile:cuda-a40-node_a40b'] done
  k=3 set=50 ['link_bw:fabric-rngd0-a40b', 'link_bw:fabric-rngd1-a40a', 'profile:furiosa-rngd-card-node_rngd0'] done
  k=3 set=51 ['link_bw:fabric-rngd0-a40b', 'link_bw:fabric-rngd1-a40a', 'profile:furiosa-rngd-card-node_rngd1'] done
  k=3 set=52 ['link_bw:fabric-rngd0-a40b', 'link_bw:fabric-rngd1-a40a', 'sim_error:domain'] done
  k=3 set=53 ['link_bw:fabric-rngd0-a40b', 'link_bw:fabric-rngd1-a40b', 'link_bw:fabric-rngd0-rngd1'] done
  k=3 set=54 ['link_bw:fabric-rngd0-a40b', 'link_bw:fabric-rngd1-a40b', 'link_bw:fabric-a40a-a40b'] done
  k=3 set=55 ['link_bw:fabric-rngd0-a40b', 'link_bw:fabric-rngd1-a40b', 'profile:cuda-a40-node_a40a'] done
  k=3 set=56 ['link_bw:fabric-rngd0-a40b', 'link_bw:fabric-rngd1-a40b', 'profile:cuda-a40-node_a40b'] done
