layer,sequences,time_us
lm_head,1,516.037
lm_head,2,518.415
lm_head,3,519.664
lm_head,4,518.895
lm_head,5,520.421
lm_head,6,521.321
lm_head,7,521.914
lm_head,8,522.228
lm_head,9,523.653
lm_head,10,523.908
lm_head,11,524.634
lm_head,12,525.583
lm_head,13,526.437
lm_head,14,526.874
lm_head,15,527.898
lm_head,16,529.178
lm_head,20,460.593
lm_head,24,461.327
lm_head,28,462.533
lm_head,32,516.826
lm_head,36,517.05
lm_head,40,517.306
lm_head,44,517.957
lm_head,48,519.202
lm_head,52,519.546
lm_head,56,519.45
lm_head,60,519.557
lm_head,64,521.199
lm_head,80,513.007
lm_head,96,515.025
lm_head,112,522.096
lm_head,128,524.549
lm_head,144,626.062
lm_head,160,628.825
lm_head,176,631.312
lm_head,192,597.837
lm_head,208,598.83
lm_head,224,554.192
lm_head,240,556.762
lm_head,256,566.245
sampler,1,38.8687
sampler,2,38.89
sampler,3,39.029
sampler,4,39.5093
sampler,5,41.2047
sampler,6,41.5567
sampler,7,41.9077
sampler,8,43.5943
sampler,9,46.431
sampler,10,50.282
sampler,11,54.2287
sampler,12,55.647
sampler,13,59.3273
sampler,14,60.788
sampler,15,62.1017
sampler,16,63.402
sampler,20,70.2503
sampler,24,76.596
sampler,28,83.0177
sampler,32,89.4283
sampler,36,96.286
sampler,40,103.529
sampler,44,110.452
sampler,48,118.964
sampler,52,126.43
sampler,56,135.123
sampler,60,143.454
sampler,64,152.318
sampler,80,187.849
sampler,96,224.871
sampler,112,259.42
sampler,128,294.289
sampler,144,327.633
sampler,160,362.854
sampler,176,398.353
sampler,192,435.631
sampler,208,471.087
sampler,224,506.212
sampler,240,541.039
sampler,256,606.488
