pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
0,n<=128,sr<=15%,kvB<=16k,kp=0,-0.0128,4
0,n<=128,sr<=15%,kvB<=1k,kp=0,-0.011,4
0,n<=128,sr<=15%,kvB<=4k,kp=0,-0.0191,4
0,n<=128,sr<=40%,kvB<=16k,kp=0,-0.051,2
0,n<=128,sr<=40%,kvB<=1k,kp=0,-0.0364,2
0,n<=128,sr<=40%,kvB<=4k,kp=0,-0.0599,2
0,n<=128,sr<=5%,kvB<=16k,kp=0,0.0244,8
0,n<=128,sr<=5%,kvB<=1k,kp=0,-0.0055,8
0,n<=128,sr<=5%,kvB<=4k,kp=0,0.0182,8
0,n<=128,sr<=70%,kvB<=16k,kp=0,-0.1412,2
0,n<=128,sr<=70%,kvB<=1k,kp=0,-0.116,2
0,n<=128,sr<=70%,kvB<=4k,kp=0,-0.1522,2
0,n<=128,sr>70%,kvB<=16k,kp=0,-0.3759,4
0,n<=128,sr>70%,kvB<=1k,kp=0,-0.2082,4
0,n<=128,sr>70%,kvB<=4k,kp=0,-0.3621,4
0,n<=16,sr<=15%,kvB<=16k,kp=0,0.0676,4
0,n<=16,sr<=15%,kvB<=1k,kp=0,0.0131,4
0,n<=16,sr<=15%,kvB<=4k,kp=0,0.0528,4
0,n<=16,sr<=40%,kvB<=16k,kp=0,0.0084,4
0,n<=16,sr<=40%,kvB<=1k,kp=0,0.0587,4
0,n<=16,sr<=40%,kvB<=4k,kp=0,0.0099,4
0,n<=16,sr<=70%,kvB<=16k,kp=0,-0.0183,2
0,n<=16,sr<=70%,kvB<=1k,kp=0,-0.05,2
0,n<=16,sr<=70%,kvB<=4k,kp=0,-0.0311,2
0,n<=16,sr>70%,kvB<=16k,kp=0,0.044,4
0,n<=16,sr>70%,kvB<=1k,kp=0,-0.0395,4
0,n<=16,sr>70%,kvB<=4k,kp=0,0.1793,4
0,n<=2,sr<=70%,kvB<=16k,kp=0,-0.15,2
0,n<=2,sr<=70%,kvB<=1k,kp=0,0.4203,2
0,n<=2,sr<=70%,kvB<=4k,kp=0,0.2301,2
0,n<=256,sr<=15%,kvB<=16k,kp=0,-0.0124,4
0,n<=256,sr<=15%,kvB<=1k,kp=0,0.0058,4
0,n<=256,sr<=15%,kvB<=4k,kp=0,-0.012,4
0,n<=256,sr<=40%,kvB<=16k,kp=0,-0.026,2
0,n<=256,sr<=40%,kvB<=1k,kp=0,0.0172,2
0,n<=256,sr<=40%,kvB<=4k,kp=0,-0.0274,2
0,n<=256,sr<=5%,kvB<=16k,kp=0,-0.0051,8
0,n<=256,sr<=5%,kvB<=1k,kp=0,-0.0048,8
0,n<=256,sr<=5%,kvB<=4k,kp=0,-0.0036,8
0,n<=256,sr<=70%,kvB<=16k,kp=0,-0.0541,2
0,n<=256,sr<=70%,kvB<=1k,kp=0,-0.0481,2
0,n<=256,sr<=70%,kvB<=4k,kp=0,-0.0522,2
0,n<=256,sr>70%,kvB<=16k,kp=0,-0.1808,4
0,n<=256,sr>70%,kvB<=1k,kp=0,-0.049,4
0,n<=256,sr>70%,kvB<=4k,kp=0,-0.1495,4
0,n<=32,sr<=15%,kvB<=16k,kp=0,0.0011,6
0,n<=32,sr<=15%,kvB<=1k,kp=0,0.0208,6
0,n<=32,sr<=15%,kvB<=4k,kp=0,-0.0075,6
0,n<=32,sr<=40%,kvB<=16k,kp=0,-0.0058,2
0,n<=32,sr<=40%,kvB<=1k,kp=0,0.0766,2
0,n<=32,sr<=40%,kvB<=4k,kp=0,0.006,2
