t,prompt_throughput,gen_throughput,running,waiting,kv_cache_pct
1.0,4712.0,6.0,7,0,0.0
2.0,4068.0,14.0,11,0,0.0
3.0,3657.0,37.0,16,12,0.0
4.0,7999.0,47.0,19,19,0.0
5.0,5692.0,59.0,24,27,0.0
6.0,4521.0,51.0,34,21,0.0
7.0,6308.0,106.0,40,29,0.0
8.0,5765.0,126.0,48,32,0.0
9.0,4235.0,547.0,50,45,0.0
10.0,0.0,1312.0,48,64,0.0
11.0,0.0,1272.0,46,72,0.0
12.0,0.0,1282.0,45,82,0.0
13.0,0.0,1238.0,44,95,0.0
14.0,0.0,1154.0,42,108,0.0
15.0,0.0,1109.0,40,118,0.0
16.0,0.0,1103.0,39,134,0.0
17.0,0.0,1089.0,38,145,0.0
18.0,0.0,1064.0,38,154,0.0
19.0,0.0,1011.0,37,163,0.0
20.0,0.0,1029.0,36,178,0.0
21.0,0.0,1004.0,35,191,0.0
22.0,0.0,943.0,34,201,0.0
23.0,0.0,943.0,33,209,0.0
24.0,0.0,924.0,33,215,0.0
25.0,0.0,907.0,32,225,0.0
26.0,0.0,909.0,31,233,0.0
27.0,0.0,605.0,31,238,0.0
28.0,0.0,273.0,32,239,0.0
29.0,0.0,671.0,32,259,0.0
30.0,0.0,414.0,32,261,0.0
31.0,0.0,872.0,31,261,0.0
32.0,0.0,573.0,30,261,0.0
33.0,0.0,686.0,29,261,0.0
34.0,0.0,841.0,29,261,0.0
35.0,0.0,636.0,29,259,0.0
36.0,0.0,297.0,32,254,0.0
37.0,0.0,477.0,31,254,0.0
38.0,0.0,680.0,31,251,0.0
39.0,940.0,390.0,33,248,0.0
40.0,1313.0,329.0,36,244,0.0
41.0,4945.0,389.0,36,242,0.0
42.0,3438.0,177.0,39,235,0.0
43.0,5267.0,118.0,42,231,0.0
44.0,4451.0,251.0,51,219,0.0
45.0,5953.0,253.0,54,214,0.0
46.0,2020.0,917.0,54,213,0.0
47.0,0.0,1220.0,53,213,0.0
48.0,0.0,1395.0,50,216,0.0
49.0,0.0,1240.0,50,215,0.0
50.0,0.0,891.0,50,214,0.0
51.0,0.0,1314.0,48,216,0.0
52.0,0.0,1311.0,46,218,0.0
53.0,0.0,1262.0,44,219,0.0
54.0,0.0,967.0,44,218,0.0
55.0,0.0,1214.0,43,219,0.0
56.0,0.0,1183.0,41,221,0.0
57.0,0.0,828.0,42,219,0.0
58.0,0.0,1034.0,41,219,0.0
59.0,0.0,704.0,41,218,0.0
60.0,0.0,579.0,42,215,0.0
61.0,0.0,1120.0,41,216,0.0
62.0,0.0,1007.0,40,216,0.0
63.0,0.0,1092.0,38,218,0.0
64.0,0.0,1054.0,37,219,0.0
65.0,0.0,885.0,36,219,0.0
66.0,0.0,999.0,35,219,0.0
67.0,0.0,350.0,36,215,0.0
68.0,0.0,884.0,35,215,0.0
69.0,0.0,765.0,35,214,0.0
70.0,0.0,804.0,34,214,0.0
71.0,0.0,849.0,34,213,0.0
72.0,1181.0,672.0,34,212,0.0
73.0,0.0,860.0,33,212,0.0
74.0,2842.0,396.0,35,208,0.0
75.0,3580.0,421.0,36,205,0.0
76.0,2264.0,513.0,37,202,0.0
77.0,0.0,771.0,36,201,0.0
78.0,4000.0,221.0,39,196,0.0
79.0,3807.0,513.0,42,190,0.0
80.0,2907.0,300.0,47,183,0.0
81.0,2225.0,559.0,47,181,0.0
82.0,4619.0,245.0,53,172,0.0
83.0,3501.0,157.0,56,167,0.0
84.0,5034.0,556.0,57,164,0.0
85.0,1884.0,982.0,59,160,0.0
86.0,1788.0,1156.0,57,162,0.0
87.0,0.0,1508.0,55,164,0.0
88.0,0.0,1446.0,52,167,0.0
89.0,0.0,1348.0,51,168,0.0
90.0,0.0,1263.0,49,169,0.0
91.0,0.0,1068.0,49,168,0.0
92.0,0.0,1305.0,47,170,0.0
93.0,0.0,988.0,47,169,0.0
94.0,0.0,1237.0,45,171,0.0
95.0,0.0,1215.0,45,171,0.0
96.0,0.0,1233.0,44,172,0.0
97.0,0.0,1177.0,43,173,0.0
98.0,0.0,1020.0,42,173,0.0
99.0,0.0,1164.0,41,174,0.0
100.0,0.0,937.0,40,174,0.0
101.0,0.0,1111.0,39,175,0.0
102.0,0.0,1035.0,38,176,0.0
103.0,0.0,532.0,39,173,0.0
104.0,0.0,996.0,36,172,0.0
105.0,0.0,178.0,36,170,0.0
106.0,0.0,480.0,37,167,0.0
107.0,0.0,314.0,40,163,0.0
108.0,0.0,604.0,40,160,0.0
109.0,1889.0,638.0,40,158,0.0
110.0,1464.0,477.0,41,154,0.0
111.0,2509.0,688.0,42,151,0.0
112.0,2593.0,290.0,44,146,0.0
113.0,2993.0,860.0,45,143,0.0
114.0,2467.0,400.0,45,141,0.0
115.0,1340.0,1156.0,44,142,0.0
116.0,741.0,790.0,44,140,0.0
117.0,2378.0,614.0,44,138,0.0
118.0,1425.0,743.0,45,135,0.0
119.0,1115.0,859.0,45,134,0.0
120.0,611.0,819.0,47,129,0.0
121.0,2805.0,428.0,48,127,0.0
122.0,2259.0,1006.0,48,125,0.0
123.0,1320.0,1038.0,47,126,0.0
124.0,0.0,926.0,46,126,0.0
125.0,0.0,1230.0,45,127,0.0
126.0,0.0,1019.0,44,127,0.0
127.0,0.0,1166.0,43,128,0.0
128.0,0.0,859.0,43,127,0.0
129.0,0.0,1139.0,42,128,0.0
130.0,0.0,1075.0,41,128,0.0
131.0,0.0,1080.0,39,130,0.0
132.0,0.0,786.0,40,128,0.0
133.0,0.0,799.0,39,128,0.0
134.0,0.0,1092.0,39,128,0.0
135.0,0.0,539.0,39,126,0.0
136.0,0.0,759.0,37,125,0.0
137.0,2082.0,589.0,37,123,0.0
138.0,2361.0,517.0,37,122,0.0
139.0,0.0,653.0,36,121,0.0
140.0,1313.0,964.0,35,121,0.0
141.0,1617.0,349.0,35,119,0.0
142.0,3991.0,513.0,35,116,0.0
143.0,1361.0,787.0,35,115,0.0
144.0,0.0,622.0,34,114,0.0
145.0,5419.0,281.0,36,110,0.0
146.0,1447.0,679.0,35,110,0.0
147.0,1126.0,631.0,36,107,0.0
148.0,1747.0,562.0,35,106,0.0
149.0,0.0,927.0,34,107,0.0
150.0,974.0,621.0,34,106,0.0
151.0,0.0,577.0,35,103,0.0
152.0,3456.0,222.0,40,97,0.0
153.0,4288.0,436.0,41,93,0.0
154.0,526.0,887.0,40,93,0.0
155.0,0.0,1109.0,39,94,0.0
156.0,0.0,849.0,39,93,0.0
157.0,0.0,995.0,38,93,0.0
158.0,1265.0,712.0,37,93,0.0
159.0,0.0,998.0,37,92,0.0
160.0,0.0,769.0,36,93,0.0
161.0,1736.0,659.0,37,90,0.0
162.0,0.0,992.0,36,91,0.0
163.0,0.0,957.0,35,92,0.0
164.0,0.0,620.0,36,90,0.0
165.0,0.0,941.0,34,92,0.0
166.0,0.0,723.0,35,90,0.0
167.0,0.0,890.0,34,90,0.0
168.0,1581.0,611.0,34,89,0.0
169.0,0.0,798.0,33,89,0.0
170.0,1941.0,427.0,34,86,0.0
171.0,1672.0,694.0,33,87,0.0
172.0,0.0,754.0,32,87,0.0
173.0,727.0,684.0,32,86,0.0
174.0,0.0,763.0,32,85,0.0
175.0,1158.0,685.0,30,83,0.0
176.0,3503.0,94.0,36,77,0.0
177.0,3554.0,179.0,39,73,0.0
178.0,2346.0,952.0,37,75,0.0
179.0,2719.0,427.0,40,70,0.0
180.0,0.0,705.0,40,68,0.0
181.0,2662.0,766.0,40,66,0.0
182.0,3429.0,319.0,42,62,0.0
183.0,2337.0,791.0,41,61,0.0
184.0,2711.0,614.0,41,60,0.0
185.0,1218.0,703.0,42,57,0.0
