prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,128,8.470000000000073
0,0,1,1024,7.365199999999822
0,0,1,8192,25.852199999989534
0,0,2,128,7.512800000000698
0,0,2,1024,10.215400000000319
0,0,4,128,8.867800000000239
0,0,4,1024,14.557199999999943
0,0,4,8192,89.83679999999586
0,0,8,8192,183.9341999999975
0,0,16,1024,46.72200000000048
0,0,16,8192,350.7899999999989
0,0,32,128,14.460399999999845
0,0,64,128,25.367200000000047
0,0,64,8192,1905.0363999999965
0,0,128,128,47.64859999999953
0,0,128,1024,347.95779999999576
0,0,256,128,90.90379999999905
0,0,256,1024,708.584599999975
0,0,256,8192,8091.149799999921
16,0,0,0,6.430000000000928
32,0,0,0,7.351200000002609
64,0,0,0,7.196600000000262
128,0,0,0,9.677400000000489
256,0,0,0,15.243399999998655
512,0,0,0,40.11560000000318
1024,0,0,0,134.77200000000394
2048,0,0,0,529.8407999999988
