pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
0,n<=64,sr>70%,kvB<=16k,kp=0,0.2358,4
0,n<=64,sr>70%,kvB<=1k,kp=0,0.1797,4
0,n<=64,sr>70%,kvB<=4k,kp=0,0.2749,4
0,n<=8,sr<=15%,kvB<=16k,kp=0,0.0497,2
0,n<=8,sr<=15%,kvB<=1k,kp=0,0.0318,2
0,n<=8,sr<=15%,kvB<=4k,kp=0,0.0392,2
0,n<=8,sr<=40%,kvB<=16k,kp=0,0.0048,4
0,n<=8,sr<=40%,kvB<=1k,kp=0,0.0184,4
0,n<=8,sr<=40%,kvB<=4k,kp=0,0.0171,4
0,n<=8,sr<=70%,kvB<=16k,kp=0,0.0321,2
0,n<=8,sr<=70%,kvB<=1k,kp=0,-0.202,2
0,n<=8,sr<=70%,kvB<=4k,kp=0,-0.0118,2
0,n<=8,sr>70%,kvB<=16k,kp=0,0.0931,4
0,n<=8,sr>70%,kvB<=1k,kp=0,0.221,4
0,n<=8,sr>70%,kvB<=4k,kp=0,0.2735,4
16,n<=128,sr<=15%,kvB<=16k,kp<=1k,0.0901,4
16,n<=128,sr<=15%,kvB<=16k,kp<=2k,0.0858,4
16,n<=128,sr<=15%,kvB<=16k,kp<=4k,0.083,4
16,n<=128,sr<=15%,kvB<=16k,kp<=512,0.0838,4
16,n<=128,sr<=15%,kvB<=16k,kp<=8k,0.0763,4
16,n<=128,sr<=15%,kvB<=16k,kp=0,0.089,4
16,n<=128,sr<=15%,kvB<=1k,kp<=1k,0.0548,4
16,n<=128,sr<=15%,kvB<=1k,kp<=2k,0.0635,4
16,n<=128,sr<=15%,kvB<=1k,kp<=4k,0.0728,4
16,n<=128,sr<=15%,kvB<=1k,kp<=512,0.0668,4
16,n<=128,sr<=15%,kvB<=1k,kp<=8k,0.0555,4
16,n<=128,sr<=15%,kvB<=1k,kp=0,0.0642,4
16,n<=128,sr<=15%,kvB<=4k,kp<=1k,0.0201,4
16,n<=128,sr<=15%,kvB<=4k,kp<=2k,0.0183,4
16,n<=128,sr<=15%,kvB<=4k,kp<=4k,0.0093,4
16,n<=128,sr<=15%,kvB<=4k,kp<=512,0.0195,4
16,n<=128,sr<=15%,kvB<=4k,kp<=8k,0.0064,4
16,n<=128,sr<=15%,kvB<=4k,kp=0,0.0195,4
16,n<=128,sr<=40%,kvB<=16k,kp<=1k,0.1591,2
16,n<=128,sr<=40%,kvB<=16k,kp<=2k,0.1563,2
16,n<=128,sr<=40%,kvB<=16k,kp<=4k,0.1402,2
16,n<=128,sr<=40%,kvB<=16k,kp<=512,0.16,2
16,n<=128,sr<=40%,kvB<=16k,kp<=8k,0.1517,2
16,n<=128,sr<=40%,kvB<=16k,kp=0,0.1597,2
16,n<=128,sr<=40%,kvB<=1k,kp<=1k,0.0752,2
16,n<=128,sr<=40%,kvB<=1k,kp<=2k,0.0759,2
16,n<=128,sr<=40%,kvB<=1k,kp<=4k,0.0748,2
16,n<=128,sr<=40%,kvB<=1k,kp<=512,0.0851,2
16,n<=128,sr<=40%,kvB<=1k,kp<=8k,0.0608,2
16,n<=128,sr<=40%,kvB<=1k,kp=0,0.0835,2
16,n<=128,sr<=40%,kvB<=4k,kp<=1k,-0.0297,2
16,n<=128,sr<=40%,kvB<=4k,kp<=2k,-0.0271,2
16,n<=128,sr<=40%,kvB<=4k,kp<=4k,-0.0278,2
16,n<=128,sr<=40%,kvB<=4k,kp<=512,-0.0354,2
16,n<=128,sr<=40%,kvB<=4k,kp<=8k,-0.0339,2
16,n<=128,sr<=40%,kvB<=4k,kp=0,-0.0353,2
16,n<=128,sr<=5%,kvB<=16k,kp<=1k,0.0239,8
16,n<=128,sr<=5%,kvB<=16k,kp<=2k,0.0235,8
16,n<=128,sr<=5%,kvB<=16k,kp<=4k,0.0198,8
16,n<=128,sr<=5%,kvB<=16k,kp<=512,0.0223,8
16,n<=128,sr<=5%,kvB<=16k,kp<=8k,0.0157,8
16,n<=128,sr<=5%,kvB<=16k,kp=0,0.0214,8
16,n<=128,sr<=5%,kvB<=1k,kp<=1k,-0.0003,8
16,n<=128,sr<=5%,kvB<=1k,kp<=2k,-0.0034,8
