layer,sequences,time_us
lm_head,1,2717.7112000000006
lm_head,2,2701.615800000004
lm_head,4,2707.205999999967
lm_head,8,2719.81079999997
lm_head,16,2745.7546000000125
lm_head,32,2769.621599999956
lm_head,64,2960.0134000000535
lm_head,128,2768.478400000005
lm_head,256,6659.599800000008
sampler,1,13.55159999999962
sampler,2,15.687200000000008
sampler,4,20.546000000000184
sampler,8,29.588800000000127
sampler,16,57.90740000000026
sampler,32,112.89080000000195
sampler,64,204.48900000000012
sampler,128,363.16739999999925
sampler,256,682.6172000000018
