layer,sequences,compute_us,dma_us,time_us
lm_head,1,366.92800000000267,2706.3424000000064,2717.7112000000006
lm_head,2,332.3678000000051,2694.418000000044,2701.615800000004
lm_head,4,334.50259999997434,2695.922199999955,2707.205999999967
lm_head,8,349.45959999998087,2696.3127999999865,2719.81079999997
lm_head,16,345.1166000000347,2726.3844000000036,2745.7546000000125
lm_head,32,650.3296000000431,2757.9079999999594,2769.621599999956
lm_head,64,1310.0678000000655,2841.5157999999965,2960.0134000000535
lm_head,128,2762.869000000036,2810.0109999999977,2768.478400000005
lm_head,256,7362.150600000183,2895.922200000014,6659.599800000008
sampler,1,9.927399999999967,6.8261999999989715,13.55159999999962
sampler,2,10.600999999999635,9.974600000000418,15.687200000000008
sampler,4,14.8870000000009,11.526599999999416,20.546000000000184
sampler,8,21.7361999999996,12.84380000000083,29.588800000000127
sampler,16,45.1990000000003,33.74000000000008,57.90740000000026
sampler,32,90.92340000000122,47.15140000000092,112.89080000000195
sampler,64,168.23219999999964,188.48040000000128,204.48900000000012
sampler,128,327.5240000000002,399.05260000000214,363.16739999999925
sampler,256,646.7612000000006,693.2173999999866,682.6172000000018
