layer,sequences,compute_us,dma_us,time_us
lm_head,1,656.9794000000809,5350.341599999849,5357.993999999939
lm_head,2,657.7620000000403,5984.762600000011,5996.313400000098
lm_head,4,666.4294000000154,5351.8144000000175,5371.401600000065
lm_head,8,687.48620000003,5354.014200000051,5389.8910000000205
lm_head,16,701.1916000000347,5378.688199999893,5422.454200000048
lm_head,32,1245.132800000257,5423.47520000003,5432.494400000176
lm_head,64,2845.567400000002,5194.413000000016,5548.686400000015
lm_head,128,4881.573399999934,5867.21180000005,5651.828600000005
lm_head,256,9634.942800000072,5448.044399999829,9659.293400000124
sampler,1,14.256999999999834,8.240399999999363,18.49079999999949
sampler,2,18.09180000000015,14.741199999999845,25.10699999999997
sampler,4,25.66840000000018,17.95580000000009,34.162000000000376
sampler,8,46.51919999999914,28.40700000000038,59.04980000000005
sampler,16,91.47460000000001,48.87040000000002,114.0638000000005
sampler,32,182.88159999999965,92.3326000000011,208.73800000000037
sampler,64,366.1055999999991,180.25200000000137,392.0822000000004
sampler,128,731.5059999999924,353.21220000000244,756.9441999999947
sampler,256,1462.461,702.2453999999932,1488.0604000000092
