layer,sequences,compute_us,dma_us,time_us
lm_head,1,87.9098000000009,677.1647999999972,682.3234000000073
lm_head,2,89.8180000000024,619.9251999999988,620.8598000000014
lm_head,4,89.86599999999217,657.8365999999987,655.1701999999935
lm_head,16,99.01940000001923,702.9275999999948,713.0477999999996
lm_head,32,185.57960000000259,701.5739999999976,731.9631999999971
lm_head,64,369.2800000000025,708.3752000000077,790.4132000000038
sampler,1,8.081999999999539,9.81860000000006,13.502399999999488
sampler,2,4.388999999999965,7.297399999999698,8.571599999999671
sampler,8,8.144599999999354,12.887799999999014,14.201399999999058
sampler,16,13.733000000000152,18.03120000000008,22.253000000000405
sampler,32,21.61620000000021,27.81839999999995,36.61579999999983
sampler,128,87.55200000000113,75.8335999999999,136.9024000000003
sampler,256,174.55180000000138,165.1520000000027,250.3415999999993
