prefill_chunk,kv_prefill,n_decode,kv_decode,compute_us,dma_us,time_us
0,0,1,128,4.1678000000000335,4.714800000000014,7.216199999999754
0,0,1,1024,5.6518000000003665,22.92499999999982,25.23540000000048
0,0,1,8192,30.185000000000173,210.6877999999997,184.39939999999996
0,0,2,128,4.560599999998976,7.449599999998645,9.575199999996766
0,0,2,1024,7.635000000000287,44.063599999999994,47.380600000000115
0,0,2,8192,55.316799999999645,354.47619999999904,358.24999999999926
0,0,4,128,4.320000000000528,12.564599999999928,14.357800000000179
0,0,4,1024,14.47160000000008,86.50839999999963,90.25360000000009
0,0,4,8192,104.79300000000069,847.1764000000023,851.0418000000016
0,0,8,128,5.12780000000023,23.234599999999887,25.5801999999999
0,0,8,1024,27.004999999999473,171.74860000000044,175.61879999999982
0,0,8,8192,204.92860000000042,1913.4387999999951,1919.8282000000006
0,0,16,128,8.22939999999944,43.92900000000045,47.634200000000234
0,0,16,1024,57.16559999999904,346.89320000000055,352.206600000001
0,0,16,8192,446.59840000000213,3813.4023999999927,3803.528999999989
0,0,32,128,16.99159999999938,87.26980000000022,91.10200000000005
0,0,32,1024,117.13239999999882,699.3142000000006,706.5043999999996
0,0,32,8192,948.8202000000013,8081.297200000005,8005.275599999991
0,0,64,128,34.60380000000032,173.70519999999868,177.55039999999926
0,0,64,1024,249.62280000000283,1828.0273999999997,1843.3633999999977
0,0,64,8192,2013.2552000000128,14527.072599999932,14346.954799999969
0,0,128,128,70.01459999999929,349.4285999999999,353.28859999999906
0,0,128,1024,1556.7825999999989,2841.8786000000077,2851.133399999993
0,0,128,8192,4188.828000000038,34550.46920000002,21924.060799999697
0,0,256,128,136.0414000000018,699.3704000000043,705.5191999999996
0,0,256,1024,3091.2280000000637,6143.630399999859,5870.277400000027
16,0,0,0,5.687800000000289,3.005599999999231,7.380599999999913
32,0,0,0,7.042199999999866,4.063999999999896,9.344600000000174
64,0,0,0,8.221399999999857,6.095999999999867,12.281199999999808
128,0,0,0,22.418599999999877,9.55640000000003,28.98800000000001
256,0,0,0,69.93359999999969,17.55779999999986,81.62359999999978
512,0,0,0,259.9880000000003,69.93599999999961,267.4524000000002
1024,0,0,0,1009.6819999999996,173.8286000000011,1016.0898
2048,0,0,0,5271.817000000223,435.4483999999972,4066.6752000003457
