layer,tokens,compute_us,dma_us,time_us
act_fn,2,0.7354000000000724,1.1842000000000552,1.9196000000001276
act_fn,4,0.5963999999998123,1.4179999999999153,2.0143999999997275
act_fn,8,0.9675999999999476,1.5374000000000023,2.50499999999995
act_fn,16,0.964200000000028,2.1670000000003258,3.1312000000003537
act_fn,32,1.6437999999999193,3.692599999999402,5.336399999999321
act_fn,64,3.002999999999929,6.327600000000484,9.330600000000413
act_fn,128,5.724999999999932,12.59819999999993,18.32319999999986
act_fn,256,11.152999999999475,27.704200000000263,38.857199999999736
act_fn,512,22.043000000000006,47.98680000000022,70.02980000000022
act_fn,1024,44.09000000000001,96.80960000000036,110.59079999999999
act_fn,2048,88.17800000000025,206.404000000001,186.5644000000005
down_proj,1,22.459200000001147,131.63799999999873,134.79019999999986
down_proj,2,19.042599999999403,151.15960000000013,153.90279999999976
down_proj,4,19.970000000000027,150.212,153.4263999999999
down_proj,8,20.422199999999293,150.52399999999992,153.91099999999966
down_proj,16,21.991999999999916,129.10180000000008,132.36540000000005
down_proj,32,48.1020000000005,140.8224000000002,147.2970000000011
down_proj,64,86.03780000000079,153.82640000000038,165.13920000000053
down_proj,128,201.51699999999988,150.87520000000032,171.3236
down_proj,256,419.2615999999969,325.35939999999937,295.1957999999984
down_proj,512,644.5962000000011,341.68279999999993,566.3578000000005
down_proj,1024,1452.8679999999974,485.9570000000018,1133.3900000000003
down_proj,2048,3999.4404000000004,547.8358,2184.088199999999
embedding,1,0.09199999999993906,1.3063999999999851,1.3983999999999241
embedding,2,0.0,2.969399999999814,2.969399999999814
embedding,4,0.0,4.341799999999807,4.341799999999807
embedding,8,0.0,6.992399999999816,6.992399999999816
embedding,16,0.0,12.448000000000047,12.448000000000047
embedding,32,0.0,23.36659999999972,23.36659999999972
embedding,64,1.56320000000037,6.430599999999868,7.993800000000237
embedding,128,1.4765999999998711,11.772799999999506,12.932799999999997
embedding,256,1.6396000000004052,21.34720000000011,22.67140000000047
embedding,512,1.6434000000002924,41.40159999999969,42.7301999999997
embedding,1024,4.203199999999515,83.1849999999998,87.07279999999955
embedding,2048,0.798399999999674,159.87899999999945,160.67739999999912
final_layernorm,1,2.438199999999688,1.4484000000001742,3.3631999999996878
final_layernorm,2,1.922199999999998,1.5411999999999353,2.8797999999998867
final_layernorm,4,1.4829999999996744,1.6268000000004121,2.5436000000000605
final_layernorm,8,1.1881999999999606,2.224600000000282,2.765799999999717
final_layernorm,16,1.4613999999999578,2.7116000000005442,3.546600000000217
final_layernorm,32,2.283599999999956,4.122399999999834,5.727399999999761
final_layernorm,64,3.3275999999999386,6.547000000000071,8.740799999999854
final_layernorm,128,5.492800000000329,11.749200000000087,16.06960000000047
final_layernorm,256,12.316599999999926,22.47660000000001,33.3866
final_layernorm,512,22.814200000000028,43.18639999999975,63.747799999999735
final_layernorm,1024,45.33460000000082,85.01000000000026,86.58500000000045
final_layernorm,2048,90.35300000000007,168.26620000000003,172.7351999999999
gate_up_proj,1,37.06800000000053,313.5949999999999,316.71979999999957
gate_up_proj,2,37.45779999999968,301.4814000000007,304.7456000000017
gate_up_proj,4,37.47399999999975,298.9818000000007,302.22400000000073
gate_up_proj,8,43.802000000002295,301.91620000000023,305.42120000000085
gate_up_proj,16,39.307200000000286,300.15540000000175,305.2736000000008
gate_up_proj,32,69.21979999999917,305.0390000000004,313.484199999999
gate_up_proj,64,180.16619999999793,288.48239999999544,304.9840000000005
gate_up_proj,128,303.4002000000003,378.4491999999997,339.9084000000001
gate_up_proj,256,681.5319999999995,491.08259999999973,627.6122000000004
gate_up_proj,512,1035.5405999999996,399.7724000000004,1066.9402000000002
gate_up_proj,1024,3059.148199999999,544.3661999999994,2045.3443999999986
gate_up_proj,2048,8314.103000000046,1340.0105999999719,4467.440199999987
layernorm,1,2.577200000000039,1.4151999999997087,3.4319999999997437
layernorm,2,2.087199999999825,1.6177999999999428,3.096199999999885
layernorm,4,1.4089999999996508,1.6315999999997075,2.477799999999661
layernorm,8,1.1890000000000327,2.3690000000000055,2.9100000000001045
layernorm,16,1.4611999999998715,2.7149999999998955,3.5527999999998885
layernorm,32,2.2799999999999954,4.098399999999674,5.702399999999898
layernorm,64,3.3659999999998034,6.732000000000153,8.925799999998981
layernorm,128,5.492799999999784,11.772199999999884,16.102999999999792
layernorm,256,12.317000000000007,22.403000000000066,33.339600000000154
layernorm,512,22.813800000000537,43.27400000000016,63.9166000000007
layernorm,1024,45.3376000000002,84.78859999999982,86.35039999999967
layernorm,2048,90.35219999999973,167.37379999999888,172.01179999999968
o_proj,1,5.672200000000521,43.14720000000034,46.057800000000135
o_proj,2,5.6204000000002,43.3150000000001,46.186600000000226
o_proj,4,5.6645999999997,43.31840000000111,46.16200000000099
o_proj,8,5.623800000000574,43.8975999999996,46.731400000000306
o_proj,16,5.772999999999411,44.087199999999484,47.04399999999932
o_proj,32,11.965199999999891,45.059000000000154,49.8956000000001
o_proj,64,25.108200000000032,46.58200000000079,57.17020000000048
