pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
0,n<=128,sr<=15%,kvB<=16k,kp=0,0.0115,4
0,n<=128,sr<=15%,kvB<=1k,kp=0,0.0128,4
0,n<=128,sr<=15%,kvB<=4k,kp=0,0.0088,4
0,n<=128,sr<=40%,kvB<=16k,kp=0,-0.0167,2
0,n<=128,sr<=40%,kvB<=1k,kp=0,0.0003,2
0,n<=128,sr<=40%,kvB<=4k,kp=0,-0.0187,2
0,n<=128,sr<=5%,kvB<=16k,kp=0,0.0114,8
0,n<=128,sr<=5%,kvB<=1k,kp=0,-0.0003,8
0,n<=128,sr<=5%,kvB<=4k,kp=0,0.0119,8
0,n<=128,sr<=70%,kvB<=16k,kp=0,-0.044,2
0,n<=128,sr<=70%,kvB<=1k,kp=0,-0.0297,2
0,n<=128,sr<=70%,kvB<=4k,kp=0,-0.0552,2
0,n<=128,sr>70%,kvB<=16k,kp=0,-0.1431,4
0,n<=128,sr>70%,kvB<=1k,kp=0,0.0011,4
0,n<=128,sr>70%,kvB<=4k,kp=0,-0.1065,4
0,n<=16,sr<=15%,kvB<=16k,kp=0,0.0066,4
0,n<=16,sr<=15%,kvB<=1k,kp=0,0.0261,4
0,n<=16,sr<=15%,kvB<=4k,kp=0,-0.0113,4
0,n<=16,sr<=40%,kvB<=16k,kp=0,-0.0084,4
0,n<=16,sr<=40%,kvB<=1k,kp=0,0.0872,4
0,n<=16,sr<=40%,kvB<=4k,kp=0,-0.004,4
0,n<=16,sr<=70%,kvB<=16k,kp=0,-0.0236,2
0,n<=16,sr<=70%,kvB<=1k,kp=0,0.1009,2
0,n<=16,sr<=70%,kvB<=4k,kp=0,-0.0411,2
0,n<=16,sr>70%,kvB<=16k,kp=0,0.0066,4
0,n<=16,sr>70%,kvB<=1k,kp=0,0.2076,4
0,n<=16,sr>70%,kvB<=4k,kp=0,-0.0518,4
0,n<=2,sr<=70%,kvB<=16k,kp=0,-0.0554,2
0,n<=2,sr<=70%,kvB<=1k,kp=0,0.2349,2
0,n<=2,sr<=70%,kvB<=4k,kp=0,0.1476,2
0,n<=256,sr<=15%,kvB<=16k,kp=0,-0.0033,4
0,n<=256,sr<=15%,kvB<=1k,kp=0,0.0101,4
0,n<=256,sr<=15%,kvB<=4k,kp=0,-0.0015,4
0,n<=256,sr<=40%,kvB<=16k,kp=0,-0.0061,2
0,n<=256,sr<=40%,kvB<=1k,kp=0,0.0161,2
0,n<=256,sr<=40%,kvB<=4k,kp=0,-0.0072,2
0,n<=256,sr<=5%,kvB<=16k,kp=0,-0.0014,8
0,n<=256,sr<=5%,kvB<=1k,kp=0,0.0012,8
0,n<=256,sr<=5%,kvB<=4k,kp=0,-0.0,8
0,n<=256,sr<=70%,kvB<=16k,kp=0,-0.016,2
0,n<=256,sr<=70%,kvB<=1k,kp=0,-0.0116,2
0,n<=256,sr<=70%,kvB<=4k,kp=0,-0.0117,2
0,n<=256,sr>70%,kvB<=16k,kp=0,-0.0388,4
0,n<=256,sr>70%,kvB<=1k,kp=0,0.0248,4
0,n<=256,sr>70%,kvB<=4k,kp=0,-0.0129,4
0,n<=32,sr<=15%,kvB<=16k,kp=0,0.0007,6
0,n<=32,sr<=15%,kvB<=1k,kp=0,0.1052,6
0,n<=32,sr<=15%,kvB<=4k,kp=0,-0.0058,6
0,n<=32,sr<=40%,kvB<=16k,kp=0,-0.0113,2
0,n<=32,sr<=40%,kvB<=1k,kp=0,0.1263,2
0,n<=32,sr<=40%,kvB<=4k,kp=0,-0.0087,2
0,n<=32,sr<=5%,kvB<=16k,kp=0,0.0002,2
0,n<=32,sr<=5%,kvB<=1k,kp=0,0.0735,2
0,n<=32,sr<=5%,kvB<=4k,kp=0,-0.0028,2
0,n<=32,sr<=70%,kvB<=16k,kp=0,-0.0235,2
0,n<=32,sr<=70%,kvB<=1k,kp=0,0.0589,2
0,n<=32,sr<=70%,kvB<=4k,kp=0,-0.0161,2
0,n<=32,sr>70%,kvB<=16k,kp=0,-0.0003,4
0,n<=32,sr>70%,kvB<=1k,kp=0,0.2333,4
0,n<=32,sr>70%,kvB<=4k,kp=0,0.0187,4
0,n<=4,sr<=40%,kvB<=16k,kp=0,0.028,2
0,n<=4,sr<=40%,kvB<=1k,kp=0,0.1151,4
0,n<=4,sr<=40%,kvB<=4k,kp=0,0.0375,3
0,n<=4,sr<=70%,kvB<=16k,kp=0,0.0362,2
0,n<=4,sr<=70%,kvB<=1k,kp=0,0.1728,2
0,n<=4,sr<=70%,kvB<=4k,kp=0,-0.1937,2
0,n<=4,sr>70%,kvB<=16k,kp=0,0.4111,2
0,n<=4,sr>70%,kvB<=1k,kp=0,0.4374,2
0,n<=4,sr>70%,kvB<=4k,kp=0,0.2512,2
0,n<=64,sr<=15%,kvB<=16k,kp=0,0.0259,4
0,n<=64,sr<=15%,kvB<=1k,kp=0,0.026,4
0,n<=64,sr<=15%,kvB<=4k,kp=0,0.018,4
