t,prompt_throughput,gen_throughput,running,waiting,kv_cache_pct
150.0,0.0,1107.0,52,0,0.0
151.0,0.0,1005.0,48,0,0.0
152.0,0.0,1001.0,43,0,0.0
153.0,0.0,989.0,43,0,0.0
154.0,0.0,989.0,43,0,0.0
155.0,0.0,914.0,40,0,0.0
156.0,0.0,901.0,39,0,0.0
157.0,0.0,857.0,35,0,0.0
158.0,0.0,816.0,33,0,0.0
159.0,0.0,741.0,30,0,0.0
160.0,0.0,727.0,29,0,0.0
161.0,0.0,691.0,27,0,0.0
162.0,0.0,641.0,24,0,0.0
163.0,0.0,590.0,22,0,0.0
164.0,0.0,518.0,17,0,0.0
165.0,0.0,413.0,13,0,0.0
166.0,0.0,353.0,12,0,0.0
167.0,0.0,322.0,11,0,0.0
168.0,0.0,300.0,9,0,0.0
169.0,0.0,178.0,5,0,0.0
170.0,0.0,134.0,3,0,0.0
171.0,0.0,54.0,1,0,0.0
172.0,0.0,35.0,1,0,0.0
173.0,0.0,35.0,1,0,0.0
174.0,0.0,35.0,1,0,0.0
175.0,0.0,12.0,0,0,0.0
