t,prompt_throughput,gen_throughput,running,waiting,kv_cache_pct
157.0,372.0,390.0,14,0,0.0
158.0,0.0,396.0,13,0,0.0
159.0,918.0,381.0,13,0,0.0
160.0,0.0,386.0,12,0,0.0
161.0,496.0,340.0,12,0,0.0
162.0,0.0,372.0,12,0,0.0
163.0,906.0,295.0,11,0,0.0
164.0,0.0,314.0,10,0,0.0
165.0,629.0,295.0,10,0,0.0
166.0,0.0,300.0,10,0,0.0
167.0,429.0,317.0,11,0,0.0
168.0,0.0,329.0,10,0,0.0
169.0,752.0,306.0,11,0,0.0
170.0,0.0,330.0,11,0,0.0
171.0,518.0,334.0,12,0,0.0
172.0,0.0,355.0,11,0,0.0
173.0,750.0,321.0,11,0,0.0
174.0,0.0,341.0,11,0,0.0
175.0,1181.0,298.0,12,0,0.0
176.0,0.0,360.0,12,0,0.0
177.0,1102.0,313.0,11,0,0.0
178.0,0.0,330.0,11,0,0.0
179.0,1111.0,308.0,11,0,0.0
180.0,0.0,330.0,11,0,0.0
181.0,356.0,334.0,12,0,0.0
182.0,0.0,360.0,12,0,0.0
183.0,273.0,362.0,13,0,0.0
184.0,0.0,387.0,12,0,0.0
185.0,1363.0,296.0,12,0,0.0
186.0,0.0,360.0,12,0,0.0
187.0,1267.0,332.0,12,0,0.0
188.0,0.0,341.0,11,0,0.0
189.0,950.0,298.0,12,0,0.0
190.0,0.0,335.0,11,0,0.0
191.0,856.0,310.0,12,0,0.0
192.0,0.0,360.0,12,0,0.0
193.0,853.0,311.0,12,0,0.0
194.0,0.0,348.0,12,0,0.0
195.0,555.0,348.0,13,0,0.0
196.0,0.0,365.0,12,0,0.0
197.0,2641.0,231.0,13,0,0.0
198.0,0.0,377.0,13,0,0.0
199.0,480.0,376.0,14,0,0.0
200.0,0.0,383.0,12,0,0.0
201.0,264.0,349.0,13,0,0.0
202.0,0.0,377.0,13,0,0.0
203.0,615.0,375.0,14,0,0.0
204.0,0.0,389.0,12,0,0.0
205.0,814.0,336.0,13,0,0.0
206.0,0.0,375.0,12,0,0.0
207.0,787.0,293.0,11,0,0.0
208.0,0.0,330.0,11,0,0.0
209.0,888.0,309.0,12,0,0.0
210.0,0.0,347.0,11,0,0.0
211.0,494.0,333.0,12,0,0.0
212.0,0.0,356.0,11,0,0.0
213.0,824.0,301.0,11,0,0.0
214.0,0.0,330.0,11,0,0.0
215.0,616.0,322.0,12,0,0.0
216.0,0.0,355.0,11,0,0.0
217.0,773.0,302.0,11,0,0.0
218.0,0.0,298.0,9,0,0.0
219.0,262.0,298.0,10,0,0.0
220.0,0.0,281.0,9,0,0.0
221.0,400.0,287.0,10,0,0.0
222.0,0.0,300.0,10,0,0.0
223.0,448.0,304.0,10,0,0.0
224.0,0.0,310.0,10,0,0.0
225.0,408.0,306.0,11,0,0.0
226.0,0.0,341.0,11,0,0.0
227.0,1213.0,298.0,12,0,0.0
228.0,0.0,360.0,12,0,0.0
229.0,373.0,357.0,12,0,0.0
230.0,0.0,360.0,12,0,0.0
231.0,286.0,348.0,12,0,0.0
232.0,0.0,360.0,12,0,0.0
233.0,353.0,348.0,12,0,0.0
234.0,0.0,372.0,12,0,0.0
235.0,996.0,342.0,12,0,0.0
236.0,0.0,360.0,12,0,0.0
237.0,952.0,313.0,12,0,0.0
238.0,0.0,360.0,12,0,0.0
239.0,759.0,316.0,10,0,0.0
240.0,0.0,300.0,10,0,0.0
241.0,266.0,308.0,10,0,0.0
242.0,0.0,300.0,10,0,0.0
243.0,385.0,302.0,10,0,0.0
244.0,0.0,304.0,9,0,0.0
245.0,630.0,278.0,10,0,0.0
246.0,0.0,300.0,10,0,0.0
247.0,631.0,305.0,11,0,0.0
248.0,0.0,317.0,9,0,0.0
249.0,373.0,288.0,10,0,0.0
250.0,0.0,293.0,9,0,0.0
251.0,264.0,280.0,9,0,0.0
252.0,0.0,270.0,9,0,0.0
253.0,524.0,287.0,10,0,0.0
254.0,0.0,310.0,10,0,0.0
255.0,697.0,293.0,10,0,0.0
256.0,0.0,310.0,10,0,0.0
257.0,1643.0,281.0,10,0,0.0
258.0,0.0,300.0,10,0,0.0
259.0,1342.0,272.0,11,0,0.0
260.0,0.0,330.0,11,0,0.0
261.0,516.0,300.0,10,0,0.0
262.0,0.0,300.0,10,0,0.0
263.0,341.0,316.0,11,0,0.0
264.0,0.0,321.0,10,0,0.0
265.0,733.0,289.0,10,0,0.0
266.0,0.0,300.0,10,0,0.0
267.0,1017.0,283.0,11,0,0.0
268.0,0.0,330.0,11,0,0.0
269.0,717.0,313.0,11,0,0.0
270.0,0.0,329.0,10,0,0.0
271.0,368.0,317.0,11,0,0.0
272.0,0.0,311.0,10,0,0.0
273.0,798.0,295.0,11,0,0.0
274.0,0.0,324.0,10,0,0.0
275.0,365.0,294.0,10,0,0.0
276.0,0.0,310.0,10,0,0.0
277.0,721.0,295.0,11,0,0.0
278.0,0.0,330.0,11,0,0.0
279.0,1788.0,294.0,11,0,0.0
280.0,0.0,328.0,10,0,0.0
281.0,1268.0,284.0,11,0,0.0
282.0,0.0,330.0,11,0,0.0
283.0,621.0,319.0,10,0,0.0
284.0,0.0,300.0,10,0,0.0
285.0,737.0,295.0,11,0,0.0
286.0,0.0,330.0,11,0,0.0
287.0,727.0,322.0,12,0,0.0
288.0,0.0,332.0,11,0,0.0
289.0,550.0,314.0,11,0,0.0
290.0,0.0,324.0,10,0,0.0
291.0,1437.0,251.0,11,0,0.0
292.0,0.0,330.0,11,0,0.0
293.0,522.0,334.0,12,0,0.0
294.0,0.0,331.0,11,0,0.0
295.0,831.0,310.0,11,0,0.0
296.0,0.0,302.0,10,0,0.0
297.0,654.0,294.0,11,0,0.0
298.0,0.0,304.0,10,0,0.0
299.0,596.0,305.0,11,0,0.0
300.0,0.0,330.0,11,0,0.0
301.0,512.0,308.0,10,0,0.0
302.0,0.0,300.0,10,0,0.0
303.0,579.0,300.0,10,0,0.0
304.0,0.0,300.0,10,0,0.0
305.0,465.0,316.0,11,0,0.0
306.0,0.0,330.0,11,0,0.0
307.0,460.0,322.0,11,0,0.0
308.0,0.0,302.0,10,0,0.0
309.0,390.0,316.0,11,0,0.0
310.0,0.0,330.0,11,0,0.0
311.0,1099.0,298.0,12,0,0.0
312.0,0.0,345.0,11,0,0.0
313.0,2090.0,249.0,12,0,0.0
314.0,0.0,322.0,11,0,0.0
315.0,377.0,333.0,12,0,0.0
316.0,0.0,360.0,12,0,0.0
317.0,1340.0,318.0,12,0,0.0
318.0,0.0,328.0,10,0,0.0
319.0,741.0,294.0,11,0,0.0
320.0,0.0,330.0,11,0,0.0
321.0,963.0,309.0,11,0,0.0
322.0,0.0,310.0,10,0,0.0
