pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
0,n<=128,sr<=15%,kvB<=16k,kp=0,0.0094,4
0,n<=128,sr<=15%,kvB<=1k,kp=0,0.0114,4
0,n<=128,sr<=15%,kvB<=4k,kp=0,0.0067,4
0,n<=128,sr<=40%,kvB<=16k,kp=0,-0.0197,2
0,n<=128,sr<=40%,kvB<=1k,kp=0,0.0011,2
0,n<=128,sr<=40%,kvB<=4k,kp=0,-0.0191,2
0,n<=128,sr<=5%,kvB<=16k,kp=0,0.0116,8
0,n<=128,sr<=5%,kvB<=1k,kp=0,-0.0007,8
0,n<=128,sr<=5%,kvB<=4k,kp=0,0.0113,8
0,n<=128,sr<=70%,kvB<=16k,kp=0,-0.0467,2
0,n<=128,sr<=70%,kvB<=1k,kp=0,-0.0383,2
0,n<=128,sr<=70%,kvB<=4k,kp=0,-0.0507,2
0,n<=128,sr>70%,kvB<=16k,kp=0,-0.1459,4
0,n<=128,sr>70%,kvB<=1k,kp=0,-0.02,4
0,n<=128,sr>70%,kvB<=4k,kp=0,-0.1259,4
0,n<=16,sr<=15%,kvB<=16k,kp=0,0.0096,4
0,n<=16,sr<=15%,kvB<=1k,kp=0,0.0368,4
0,n<=16,sr<=15%,kvB<=4k,kp=0,-0.0147,4
0,n<=16,sr<=40%,kvB<=16k,kp=0,-0.0061,4
0,n<=16,sr<=40%,kvB<=1k,kp=0,0.098,4
0,n<=16,sr<=40%,kvB<=4k,kp=0,0.0019,4
0,n<=16,sr<=70%,kvB<=16k,kp=0,-0.0208,2
0,n<=16,sr<=70%,kvB<=1k,kp=0,0.0944,2
0,n<=16,sr<=70%,kvB<=4k,kp=0,-0.0431,2
0,n<=16,sr>70%,kvB<=16k,kp=0,0.0074,4
0,n<=16,sr>70%,kvB<=1k,kp=0,0.2362,4
0,n<=16,sr>70%,kvB<=4k,kp=0,-0.0175,4
0,n<=2,sr<=70%,kvB<=16k,kp=0,-0.0618,2
0,n<=2,sr<=70%,kvB<=1k,kp=0,0.2095,2
0,n<=2,sr<=70%,kvB<=4k,kp=0,0.132,2
0,n<=256,sr<=15%,kvB<=16k,kp=0,-0.0037,4
0,n<=256,sr<=15%,kvB<=1k,kp=0,0.0105,4
0,n<=256,sr<=15%,kvB<=4k,kp=0,-0.0012,4
0,n<=256,sr<=40%,kvB<=16k,kp=0,-0.0065,2
0,n<=256,sr<=40%,kvB<=1k,kp=0,0.0152,2
0,n<=256,sr<=40%,kvB<=4k,kp=0,-0.0067,2
0,n<=256,sr<=5%,kvB<=16k,kp=0,-0.002,8
0,n<=256,sr<=5%,kvB<=1k,kp=0,0.0008,8
0,n<=256,sr<=5%,kvB<=4k,kp=0,-0.0003,8
0,n<=256,sr<=70%,kvB<=16k,kp=0,-0.0157,2
0,n<=256,sr<=70%,kvB<=1k,kp=0,-0.0115,2
0,n<=256,sr<=70%,kvB<=4k,kp=0,-0.0145,2
0,n<=256,sr>70%,kvB<=16k,kp=0,-0.0425,4
0,n<=256,sr>70%,kvB<=1k,kp=0,0.0106,4
0,n<=256,sr>70%,kvB<=4k,kp=0,-0.0229,4
0,n<=32,sr<=15%,kvB<=16k,kp=0,0.0021,6
0,n<=32,sr<=15%,kvB<=1k,kp=0,0.1286,6
0,n<=32,sr<=15%,kvB<=4k,kp=0,-0.0072,6
0,n<=32,sr<=40%,kvB<=16k,kp=0,-0.0114,2
0,n<=32,sr<=40%,kvB<=1k,kp=0,0.1427,2
0,n<=32,sr<=40%,kvB<=4k,kp=0,-0.0046,2
0,n<=32,sr<=5%,kvB<=16k,kp=0,0.0015,2
0,n<=32,sr<=5%,kvB<=1k,kp=0,0.0833,2
0,n<=32,sr<=5%,kvB<=4k,kp=0,-0.0016,2
0,n<=32,sr<=70%,kvB<=16k,kp=0,-0.0261,2
0,n<=32,sr<=70%,kvB<=1k,kp=0,0.0659,2
0,n<=32,sr<=70%,kvB<=4k,kp=0,-0.0164,2
0,n<=32,sr>70%,kvB<=16k,kp=0,0.0045,4
0,n<=32,sr>70%,kvB<=1k,kp=0,0.3763,4
0,n<=32,sr>70%,kvB<=4k,kp=0,0.0161,4
0,n<=4,sr<=40%,kvB<=16k,kp=0,0.0249,2
0,n<=4,sr<=40%,kvB<=1k,kp=0,0.1018,4
0,n<=4,sr<=40%,kvB<=4k,kp=0,0.0366,3
0,n<=4,sr<=70%,kvB<=16k,kp=0,0.0247,2
0,n<=4,sr<=70%,kvB<=1k,kp=0,0.1934,2
0,n<=4,sr<=70%,kvB<=4k,kp=0,-0.1823,2
0,n<=4,sr>70%,kvB<=16k,kp=0,0.4226,2
0,n<=4,sr>70%,kvB<=1k,kp=0,0.2522,2
0,n<=4,sr>70%,kvB<=4k,kp=0,0.2653,2
0,n<=64,sr<=15%,kvB<=16k,kp=0,0.0243,4
0,n<=64,sr<=15%,kvB<=1k,kp=0,0.0281,4
0,n<=64,sr<=15%,kvB<=4k,kp=0,0.0187,4
