prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,12.2343
0,0,1,32,12.299
0,0,1,64,12.3623
0,0,1,128,17.5997
0,0,1,256,17.792
0,0,1,512,18.5177
0,0,1,1024,20.2137
0,0,1,2048,25.0247
0,0,1,4096,36.0643
0,0,1,8192,52.5557
0,0,1,16384,86.444
0,0,2,16,17.8873
0,0,2,32,17.9093
0,0,2,64,18.058
0,0,2,128,21.5997
0,0,2,256,21.878
0,0,2,512,23.3277
0,0,2,1024,27.3283
0,0,2,2048,37.462
0,0,2,4096,53.4717
0,0,2,8192,83.723
0,0,2,16384,140.482
0,0,4,16,17.995
0,0,4,32,18.0587
0,0,4,64,18.251
0,0,4,128,21.9617
0,0,4,256,22.8697
0,0,4,512,26.7837
0,0,4,1024,36.1067
0,0,4,2048,51.5097
0,0,4,4096,81.387
0,0,4,8192,136.417
0,0,4,16384,246.412
0,0,8,16,18.2937
0,0,8,32,18.474
0,0,8,64,18.9333
0,0,8,128,22.88
0,0,8,256,28.6297
0,0,8,512,36.3627
0,0,8,1024,52.566
0,0,8,2048,80.6303
0,0,8,4096,135.606
0,0,8,8192,243.522
0,0,8,16384,460.888
0,0,16,16,18.816
0,0,16,32,19.2323
0,0,16,64,20.299
0,0,16,128,29.0873
0,0,16,256,38.005
0,0,16,512,53.8777
0,0,16,1024,82.9547
0,0,16,2048,140.767
0,0,16,4096,252.887
0,0,16,8192,466.307
0,0,16,16384,916.71
0,0,32,16,24.32
0,0,32,32,24.9497
0,0,32,64,26.977
0,0,32,128,38.0263
0,0,32,256,55.4033
0,0,32,512,87.4883
0,0,32,1024,145.334
0,0,32,2048,258.263
0,0,32,4096,488.728
0,0,32,8192,923.441
0,0,32,16384,1828.3
0,0,64,16,35.2107
0,0,64,32,35.766
0,0,64,64,38.7087
0,0,64,128,61.2587
0,0,64,256,96.1707
0,0,64,512,160.086
0,0,64,1024,284.471
0,0,64,2048,526.787
0,0,64,4096,1029.81
0,0,64,8192,2028.96
0,0,64,16384,4046.64
0,0,128,16,55.6057
0,0,128,32,57.249
0,0,128,64,62.828
