layer,sequences,time_us
lm_head,1,1851.11
lm_head,2,1817.93
lm_head,3,1820.92
lm_head,4,1823.74
lm_head,5,1825.94
lm_head,6,1827.56
lm_head,7,1828.68
lm_head,8,1831.3
lm_head,9,1833.01
lm_head,10,1836.48
lm_head,11,1835.29
lm_head,12,1837.22
lm_head,13,1837.03
lm_head,14,1839.64
lm_head,15,1841.77
lm_head,16,1842.4
lm_head,20,1965.12
lm_head,24,1983.69
lm_head,28,1979.32
lm_head,32,1982.21
lm_head,36,1989.79
lm_head,40,1990.67
lm_head,44,1990.95
lm_head,48,2001.22
lm_head,52,2007.76
lm_head,56,1994.3
lm_head,60,2008.17
lm_head,64,2005.07
lm_head,80,2012.18
lm_head,96,2024.57
lm_head,112,2037.65
lm_head,128,2044.61
lm_head,144,2192.63
lm_head,160,2188.57
lm_head,176,2207.47
lm_head,192,2179.9
lm_head,208,2206.07
lm_head,224,2244.56
lm_head,240,2230.49
lm_head,256,2239.11
sampler,1,38.8687
sampler,2,38.89
sampler,3,39.029
sampler,4,39.5093
sampler,5,41.2047
sampler,6,41.5567
sampler,7,41.9077
sampler,8,43.5943
sampler,9,46.431
sampler,10,50.282
sampler,11,54.2287
sampler,12,55.647
sampler,13,59.3273
sampler,14,60.788
sampler,15,62.1017
sampler,16,63.402
sampler,20,70.2503
sampler,24,76.596
sampler,28,83.0177
sampler,32,89.4283
sampler,36,96.286
sampler,40,103.529
sampler,44,110.452
sampler,48,118.964
sampler,52,126.43
sampler,56,135.123
sampler,60,143.454
sampler,64,152.318
sampler,80,187.849
sampler,96,224.871
sampler,112,259.42
sampler,128,294.289
sampler,144,327.633
sampler,160,362.854
sampler,176,398.353
sampler,192,435.631
sampler,208,471.087
sampler,224,506.212
sampler,240,541.039
sampler,256,606.488
