layer,tokens,time_us
act_fn,2,1.9196000000001276
act_fn,4,2.0143999999997275
act_fn,8,2.50499999999995
act_fn,16,3.1312000000003537
act_fn,32,5.336399999999321
act_fn,64,9.330600000000413
act_fn,128,18.32319999999986
act_fn,256,38.857199999999736
act_fn,512,70.02980000000022
act_fn,1024,110.59079999999999
act_fn,2048,186.5644000000005
down_proj,1,134.79019999999986
down_proj,2,153.90279999999976
down_proj,4,153.4263999999999
down_proj,8,153.91099999999966
down_proj,16,132.36540000000005
down_proj,32,147.2970000000011
down_proj,64,165.13920000000053
down_proj,128,171.3236
down_proj,256,295.1957999999984
down_proj,512,566.3578000000005
down_proj,1024,1133.3900000000003
down_proj,2048,2184.088199999999
embedding,1,1.3983999999999241
embedding,2,2.969399999999814
embedding,4,4.341799999999807
embedding,8,6.992399999999816
embedding,16,12.448000000000047
embedding,32,23.36659999999972
embedding,64,7.993800000000237
embedding,128,12.932799999999997
embedding,256,22.67140000000047
embedding,512,42.7301999999997
embedding,1024,87.07279999999955
embedding,2048,160.67739999999912
final_layernorm,1,3.3631999999996878
final_layernorm,2,2.8797999999998867
final_layernorm,4,2.5436000000000605
final_layernorm,8,2.765799999999717
final_layernorm,16,3.546600000000217
final_layernorm,32,5.727399999999761
final_layernorm,64,8.740799999999854
final_layernorm,128,16.06960000000047
final_layernorm,256,33.3866
final_layernorm,512,63.747799999999735
final_layernorm,1024,86.58500000000045
final_layernorm,2048,172.7351999999999
gate_up_proj,1,316.71979999999957
gate_up_proj,2,304.7456000000017
gate_up_proj,4,302.22400000000073
gate_up_proj,8,305.42120000000085
gate_up_proj,16,305.2736000000008
gate_up_proj,32,313.484199999999
gate_up_proj,64,304.9840000000005
gate_up_proj,128,339.9084000000001
gate_up_proj,256,627.6122000000004
gate_up_proj,512,1066.9402000000002
gate_up_proj,1024,2045.3443999999986
gate_up_proj,2048,4467.440199999987
layernorm,1,3.4319999999997437
layernorm,2,3.096199999999885
layernorm,4,2.477799999999661
layernorm,8,2.9100000000001045
layernorm,16,3.5527999999998885
layernorm,32,5.702399999999898
layernorm,64,8.925799999998981
layernorm,128,16.102999999999792
layernorm,256,33.339600000000154
layernorm,512,63.9166000000007
layernorm,1024,86.35039999999967
layernorm,2048,172.01179999999968
o_proj,1,46.057800000000135
o_proj,2,46.186600000000226
o_proj,4,46.16200000000099
o_proj,8,46.731400000000306
o_proj,16,47.04399999999932
o_proj,32,49.8956000000001
o_proj,64,57.17020000000048
o_proj,128,66.80619999999927
o_proj,256,120.66279999999969
o_proj,512,215.72020000000043
o_proj,1024,316.5186000000005
o_proj,2048,582.0701999999998
qkv_proj,1,67.7065999999999
qkv_proj,2,65.04659999999956
qkv_proj,4,68.44160000000015
qkv_proj,8,62.27080000000073
qkv_proj,16,69.89559999999979
qkv_proj,32,66.09479999999976
qkv_proj,64,80.64359999999961
qkv_proj,128,93.83659999999952
qkv_proj,256,136.5057999999999
qkv_proj,512,256.96100000000104
qkv_proj,1024,460.8035999999999
qkv_proj,2048,1261.7472000000014
rotary_emb,1,7.757399999999711
rotary_emb,2,8.765999999999348
rotary_emb,4,10.585000000001127
rotary_emb,8,9.486200000000508
rotary_emb,16,8.872399999994013
rotary_emb,32,12.538799999999696
rotary_emb,64,9.053400000000329
rotary_emb,128,12.793999999999915
rotary_emb,256,16.51119999999737
rotary_emb,512,25.272599999999557
rotary_emb,1024,42.67499999999991
rotary_emb,2048,75.89220000001077
